galaxyCall,nursery,cbassRun,ed50,ed50Adj
Apal-048,CRF,4,36.94656988064061,36.73980015117097
Apal-086,CRF,4,36.77340211040088,36.57508924350653
Apal-033,CRF,4,36.15180539276419,35.9180334420033
Apal-203,CRF,4,37.16543904253881,37.05149399128925
Apal-063,CRF,4,36.98275431629525,36.65622342381995
Apal-054,CRF,4,37.14964769767047,36.977886412375476
Apal-034,CRF,4,36.83875543561551,36.54722403727419
Apal-090,CRF,4,37.03097087277757,36.75872820089871
Apal-056,CRF,4,36.87264586113646,36.63755388224946
Apal-072,CRF,4,36.51840266541154,36.42260973689524
Apal-071,CRF,4,37.34032597783539,37.26105281836875
Apal-079,CRF,4,36.55388142116784,36.34745590820523
Apal-038,CRF,4,36.41096863953655,36.18943180587985
Apal-078,CRF,4,36.72199658063262,36.61211073289006
Apal-066,CRF,4,36.22256083982175,36.01324384647567
Apal-077,CRF,4,36.18737013185529,36.02544072343116
Apal-028,CRF,4,35.97527265001685,35.58359909220819
Apal-021,CRF,4,36.48049796744685,36.18165315138249
Apal-065,CRF,4,36.80518774343757,36.585978434727544
Apal-004,CRF,4,35.483261710156036,35.19191656524746
Apal-012,CRF,4,36.64141611255715,36.4179557402727
Apal-032,CRF,4,36.665204259697795,36.497989080697536
Apal-156,CRF,4,36.5883567008354,36.30378004990875
Apal-001,CRF,4,36.647311006994165,36.466029244519525
Apal-020,CRF,4,36.36697092632572,36.06462937051772
Apal-076,CRF,4,36.314819145221286,36.03798777719894
Apal-045,CRF,4,36.27718443188724,35.97285442393807
Apal-088,CRF,4,36.859693992130524,36.56079722468061
Apal-015,CRF,4,36.309297135497715,36.08044040305404
Apal-010,CRF,4,37.308028097770524,37.09735969971894
Apal-074,CRF,4,36.43611190459903,36.27294985953795
Apal-202,CRF,4,37.16176291207715,36.944679546650455
Apal-020,CRF,4,36.41350155343301,36.15142489327702
Apal-014,CRF,4,36.203708666651806,35.9536890486527
Apal-043,CRF,4,36.210268526495604,35.96396739321351
Apal-081,CRF,4,36.545162164723926,36.35335289118222
Apal-059,CRF,4,36.765428913597525,36.47679182467552
Apal-030,CRF,4,35.95981929879146,35.770181490291705
Apal-018,CRF,4,36.46438827009459,36.24687602283352
Apal-023,CRF,4,35.79826788287114,35.621501107296915
Apal-070,CRF,4,36.00863659778391,35.811305766387505
Apal-008,CRF,4,36.76382427595544,36.582440771064356
Apal-082,CRF,4,36.40803679643343,36.2180957152909
Apal-017,CRF,4,36.58473446278289,36.388953428660365
Apal-027,CRF,4,36.45026711351513,36.23070222071767
Apal-016,CRF,4,36.64171427612715,36.45882834745336
Apal-022,CRF,4,36.542916288157464,36.23772023518006
Apal-134-M,MML,3,38.09682543337821,38.244786687572756
Apal-008-M,MML,3,37.82728846998648,38.22168032605584
Apal-116-M,MML,3,38.809045189055894,38.657551469459605
Apal-114-M,MML,3,38.66395132299776,38.70058199598127
Apal-136-M,MML,3,38.17315452320901,38.231206284442315
Apal-021-M,MML,3,37.88036827770959,38.01280924454837
Apal-078-M,MML,3,37.933028097329014,37.751891065992034
Apal-104-M,MML,3,38.91209353314069,38.23511607298122
Apal-124-M,MML,3,38.15445382122007,38.32246774135464
Apal-023-M,MML,3,37.86178705558592,37.93390483522465
