Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A2,FALSE,+,A,UNKNOWN,FAM,NFQ-MGB,17.232088088989258,17.703815460205078,0.66712188720703125,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.26673167699845485,5.1832418441772461,3.8797900676727295,81.45196533203125,88.602294921875,76.404678344726562,71.918205261230469,Y,N,Y,Y,N
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,16.760183334350586,17.054401397705078,0.41608583927154541,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.42535925596530183,4.1986684799194336,2.8402445316314697,78.070137023925781,81.852149963378906,69.105354309082031,92.357757568359375,Y,N,N,Y,N
4,A4,FALSE,CR2Apal_30C_84,Apal,UNKNOWN,SYBR,None,17.729703903198242,17.604248046875,0.17742271721363068,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.55054640406162436,3.059887170791626,2.6475484371185303,75.548789978027344,,,,Y,N,N,N,N
5,A5,FALSE,CR2Apal_30C_84,A,UNKNOWN,FAM,NFQ-MGB,26.205375671386719,26.180501937866211,0.035176772624254227,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.50985378714135876,3.376948356628418,2.2098522186279297,78.065277099609375,91.649093627929688,82.826614379882812,,Y,N,N,Y,N
6,A6,FALSE,CR2Apal_30C_84,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.403835296630859,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3539202213287354,-0.0036908749025315046,77.645156860351562,89.688545227050781,69.382835388183594,65.741813659667969,Y,Y,N,Y,Y
7,A7,FALSE,CR2Apal_30C_84,Apal,UNKNOWN,SYBR,None,17.478790283203125,17.604248046875,0.17742271721363068,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.45514676676888743,3.4126272201538086,2.9045290946960449,75.268814086914062,,,,Y,N,N,N,N
8,A8,FALSE,CR2Apal_30C_84,A,UNKNOWN,FAM,NFQ-MGB,26.155628204345703,26.180501937866211,0.035176772624254227,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.48808100319666509,3.5849487781524658,2.3796205520629883,77.650169372558594,92.218475341796875,71.346572875976562,,Y,N,N,Y,N
9,A9,FALSE,CR2Apal_30C_84,D,UNKNOWN,FAM,NFQ-MGB,33.403835296630859,33.403835296630859,,,,,,,,,FALSE,0.01,TRUE,3,32,Amp,,0.90092223979657593,1.8195582628250122,0.51305538415908813,77.2530517578125,87.913162231445312,72.063262939453125,80.1986083984375,N,N,N,Y,N
10,A10,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.29152759909629822,-0.0070539382286369801,90.998992919921875,87.071578979492188,94.225082397460938,63.086322784423828,Y,Y,N,Y,Y
11,A11,FALSE,NTC,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2196658849716187,0.00026737462030723691,77.944488525390625,90.14031982421875,68.552299499511719,64.2066650390625,Y,Y,N,Y,N
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.4127563238143921,-0.0034877813886851072,77.243583679199219,89.719772338867188,83.972312927246094,65.608482360839844,Y,Y,N,Y,N
13,B1,FALSE,CR2Apal_30C_87,Apal,UNKNOWN,SYBR,None,13.859927177429199,15.81903076171875,2.7705914974212646,,,,,,,,FALSE,0.01,TRUE,3,13,Amp,,0.22231654814693705,3.4130053520202637,2.2367660999298096,75.142860412597656,,,,Y,N,Y,N,N
14,B2,FALSE,CR2Apal_30C_87,A,UNKNOWN,FAM,NFQ-MGB,24.443252563476562,24.915798187255859,0.66828179359436035,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.49687708190911922,3.8577837944030762,2.6431944370269775,88.462089538574219,82.152984619140625,79.348930358886719,75.283065795898438,Y,N,Y,Y,N
15,B3,FALSE,CR2Apal_30C_87,D,UNKNOWN,FAM,NFQ-MGB,32.717601776123047,32.717601776123047,,,,,,,,,FALSE,0.01,TRUE,3,32,Amp,,0.89154284110288162,1.8444031476974487,0.54115861654281616,78.7705078125,88.715805053710938,74.848419189453125,69.80572509765625,N,N,N,Y,N
16,B4,FALSE,CR2Apal_30C_87,Apal,UNKNOWN,SYBR,None,17.778135299682617,15.81903076171875,2.7705914974212646,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.61169350697684477,3.215383768081665,2.7920594215393066,75.408714294433594,,,,Y,N,Y,N,N
17,B5,FALSE,CR2Apal_30C_87,A,UNKNOWN,FAM,NFQ-MGB,25.388345718383789,24.915798187255859,0.66828179359436035,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.49378004019839766,3.6660733222961426,2.3874542713165283,91.509063720703125,77.645156860351562,81.286186218261719,,Y,N,Y,Y,N
18,B6,FALSE,CR2Apal_30C_87,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,32.717601776123047,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3238331079483032,-0.0016851602122187614,79.325630187988281,74.564292907714844,89.128387451171875,66.862129211425781,Y,Y,N,Y,Y
19,B7,FALSE,CR2Apal_30C_108,Apal,UNKNOWN,SYBR,None,19.994756698608398,19.937301635742188,0.081255078315734863,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.55817042523248672,3.3529336452484131,3.0618002414703369,75.268814086914062,,,,Y,N,N,N,N
20,B8,FALSE,CR2Apal_30C_108,A,UNKNOWN,FAM,NFQ-MGB,33.478702545166016,33.504188537597656,0.036039937287569046,,,,,,,,FALSE,0.01,TRUE,3,32,Inconclusive,,0.83810597464522218,1.7715837955474854,0.54313498735427856,92.218475341796875,78.350570678710938,68.68505859375,89.13671875,N,N,N,Y,N
21,B9,FALSE,CR2Apal_30C_108,D,UNKNOWN,FAM,NFQ-MGB,25.344188690185547,25.419347763061523,0.10629098117351532,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.54145225611846137,3.4835071563720703,2.1452891826629639,92.401641845703125,72.203521728515625,77.533584594726562,75.429611206054688,Y,N,N,Y,N
22,B10,FALSE,CR2Apal_30C_108,Apal,UNKNOWN,SYBR,None,19.879844665527344,19.937301635742188,0.081255078315734863,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.50814063010580923,3.1544599533081055,2.8066630363464355,75.429611206054688,,,,Y,N,N,N,N
23,B11,FALSE,CR2Apal_30C_108,A,UNKNOWN,FAM,NFQ-MGB,33.529670715332031,33.504188537597656,0.036039937287569046,,,,,,,,FALSE,0.01,TRUE,3,32,Amp,,0.83247878839204914,1.735952615737915,0.48625099658966064,78.78558349609375,89.57958984375,82.009765625,,N,N,N,Y,N
24,B12,FALSE,CR2Apal_30C_108,D,UNKNOWN,FAM,NFQ-MGB,25.4945068359375,25.419347763061523,0.10629098117351532,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.5235770180246857,3.4722030162811279,2.1008932590484619,76.262306213378906,82.009765625,70.234481811523438,88.4581298828125,Y,N,N,Y,N
25,C1,FALSE,CR2Apal_30C_109,Apal,UNKNOWN,SYBR,None,20.106624603271484,20.77178955078125,0.94068527221679688,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.27213347019165807,3.3518977165222168,2.8877596855163574,75.142860412597656,,,,Y,N,Y,N,N
26,C2,FALSE,CR2Apal_30C_109,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2308062314987183,-0.00087429594714194536,88.882698059082031,77.80670166015625,92.24755859375,64.207069396972656,Y,Y,N,Y,Y
27,C3,FALSE,CR2Apal_30C_109,D,UNKNOWN,FAM,NFQ-MGB,26.283163070678711,26.261863708496094,0.030123194679617882,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.60540511618566606,3.3837497234344482,1.9989786148071289,89.556259155273438,77.930061340332031,69.94580078125,66.864158630371094,Y,N,N,Y,N
28,C4,FALSE,CR2Apal_30C_109,Apal,UNKNOWN,SYBR,None,21.436954498291016,20.77178955078125,0.94068527221679688,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.50153433617940013,3.4904146194458008,3.1243429183959961,75.268638610839844,,,,Y,N,Y,N,N
29,C5,FALSE,CR2Apal_30C_109,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2436432838439941,-0.0023493121843785048,78.065277099609375,89.548507690429688,82.126419067382812,74.844375610351562,Y,Y,N,Y,N
30,C6,FALSE,CR2Apal_30C_109,D,UNKNOWN,FAM,NFQ-MGB,26.240562438964844,26.261863708496094,0.030123194679617882,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.6185390651425533,3.3160707950592041,2.0065112113952637,77.925239562988281,66.582046508789062,75.12445068359375,70.083038330078125,Y,N,N,Y,N
31,C7,FALSE,CR2Apal_30C_110,Apal,UNKNOWN,SYBR,None,18.771085739135742,18.482492446899414,0.40813255310058594,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46073921630794862,3.4063208103179932,3.0061912536621094,75.128730773925781,,,,Y,N,N,N,N
32,C8,FALSE,CR2Apal_30C_110,A,UNKNOWN,FAM,NFQ-MGB,26.182310104370117,26.369943618774414,0.26535385847091675,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.50762724969439421,3.6345388889312744,2.2908318042755127,78.490646362304688,92.498641967773438,81.432327270507812,75.128730773925781,Y,N,N,Y,N
33,C9,FALSE,CR2Apal_30C_110,D,UNKNOWN,FAM,NFQ-MGB,25.761127471923828,26.023796081542969,0.37146949768066406,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.58113843014064159,3.4069750308990479,2.0726826190948486,90.578201293945312,77.954376220703125,66.452674865722656,75.149085998535156,Y,N,N,Y,N
34,C10,FALSE,CR2Apal_30C_110,Apal,UNKNOWN,SYBR,None,18.193899154663086,18.482492446899414,0.40813255310058594,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.30508926183794582,3.4377505779266357,2.9993460178375244,75.429611206054688,,,,Y,N,N,N,N
35,C11,FALSE,CR2Apal_30C_110,A,UNKNOWN,FAM,NFQ-MGB,26.557577133178711,26.369943618774414,0.26535385847091675,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.54272332779569965,3.3086576461791992,2.0938587188720703,77.383758544921875,82.009765625,87.476860046386719,,Y,N,N,Y,N
36,C12,FALSE,CR2Apal_30C_110,D,UNKNOWN,FAM,NFQ-MGB,26.286464691162109,26.023796081542969,0.37146949768066406,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.66705383806218466,3.4302911758422852,2.0360620021820068,71.075576782226562,77.243583679199219,67.711212158203125,93.224319458007812,Y,N,N,Y,N
37,D1,FALSE,CR2Apal_30C_111,Apal,UNKNOWN,SYBR,None,19.389602661132812,19.419235229492188,0.041906781494617462,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.52657248880195273,3.1092197895050049,2.9333524703979492,75.142860412597656,,,,Y,N,N,N,N
38,D2,FALSE,CR2Apal_30C_111,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,30.545053482055664,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.258882999420166,-0.0018242710502818227,78.087112426757812,83.414802551269531,91.125930786132812,64.347274780273438,Y,Y,N,Y,N
39,D3,FALSE,CR2Apal_30C_111,D,UNKNOWN,FAM,NFQ-MGB,25.71632194519043,25.37226676940918,0.48656749725341797,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.61486002793730954,3.4055125713348389,2.0691421031951904,82.272377014160156,91.517303466796875,77.369758605957031,67.144309997558594,Y,N,N,Y,N
40,D4,FALSE,CR2Apal_30C_111,Apal,UNKNOWN,SYBR,None,19.448867797851562,19.419235229492188,0.041906781494617462,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.51460421469342865,3.4711992740631104,3.0691580772399902,75.128570556640625,,,,Y,N,N,N,N
41,D5,FALSE,CR2Apal_30C_111,A,UNKNOWN,FAM,NFQ-MGB,30.545053482055664,30.545053482055664,,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.7951128296613954,2.6244857311248779,1.3878220319747925,77.645156860351562,92.349288940429688,,,Y,N,N,Y,N
42,D6,FALSE,CR2Apal_30C_111,D,UNKNOWN,FAM,NFQ-MGB,25.02821159362793,25.37226676940918,0.48656749725341797,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.51516118964171109,3.4258055686950684,2.0516064167022705,78.205322265625,92.909454345703125,71.343391418457031,75.264495849609375,Y,N,N,Y,N
43,D7,FALSE,CR2Apal_30C_112,Apal,UNKNOWN,SYBR,None,21.737100601196289,21.725330352783203,0.016644297167658806,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.47986363491701084,3.5090525150299072,3.1152324676513672,75.128730773925781,,,,Y,N,N,N,N
44,D8,FALSE,CR2Apal_30C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.79496169090271,0.00067531096283346415,78.210487365722656,88.296241760253906,61.540977478027344,65.743377685546875,Y,Y,N,Y,N
45,D9,FALSE,CR2Apal_30C_112,D,UNKNOWN,FAM,NFQ-MGB,27.488918304443359,27.646133422851562,0.22233439981937408,,,,,,,,FALSE,0.01,TRUE,3,26,Amp,,0.54144842757005252,3.0876455307006836,1.7103544473648071,77.533584594726562,69.95928955078125,82.442848205566406,92.121109008789062,Y,N,N,Y,N
46,D10,FALSE,CR2Apal_30C_112,Apal,UNKNOWN,SYBR,None,21.71356201171875,21.725330352783203,0.016644297167658806,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.49368257405926952,2.9764225482940674,2.6617555618286133,75.289352416992188,,,,Y,N,N,N,N
47,D11,FALSE,CR2Apal_30C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2044881582260132,-0.0014949623728170991,70.09429931640625,77.804306030273438,66.169204711914062,80.748130798339844,Y,Y,N,Y,N
48,D12,FALSE,CR2Apal_30C_112,D,UNKNOWN,FAM,NFQ-MGB,27.803346633911133,27.646133422851562,0.22233439981937408,,,,,,,,FALSE,0.01,TRUE,3,26,Amp,,0.69047553415256024,3.3861238956451416,1.7094485759735107,66.30938720703125,89.719772338867188,76.542671203613281,68.972846984863281,Y,N,N,Y,N
49,E1,FALSE,CR2Apal_30C_113,Apal,UNKNOWN,SYBR,None,20.445652008056641,20.55925178527832,0.16065435111522675,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.61604824136018432,3.4416961669921875,3.0835943222045898,75.142860412597656,,,,Y,N,N,N,N
50,E2,FALSE,CR2Apal_30C_113,A,UNKNOWN,FAM,NFQ-MGB,27.826929092407227,27.844108581542969,0.024295466020703316,,,,,,,,FALSE,0.01,TRUE,3,26,Amp,,0.56672311176991563,3.22098708152771,2.0080630779266357,87.480674743652344,81.872573852539062,93.789779663085938,78.227310180664062,Y,N,N,Y,N
51,E3,FALSE,CR2Apal_30C_113,D,UNKNOWN,FAM,NFQ-MGB,26.292322158813477,26.057868957519531,0.33156690001487732,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.61300501456478096,3.3154640197753906,2.0055253505706787,69.385505676269531,75.128570556640625,78.070137023925781,87.45513916015625,Y,N,N,Y,N
52,E4,FALSE,CR2Apal_30C_113,Apal,UNKNOWN,SYBR,None,20.6728515625,20.55925178527832,0.16065435111522675,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.64846191855386315,3.2581663131713867,2.8996717929840088,75.128570556640625,,,,Y,N,N,N,N
53,E5,FALSE,CR2Apal_30C_113,A,UNKNOWN,FAM,NFQ-MGB,27.861288070678711,27.844108581542969,0.024295466020703316,,,,,,,,FALSE,0.01,TRUE,3,26,Amp,,0.55450669103878392,3.2066667079925537,1.9765512943267822,77.785202026367188,92.629371643066406,82.826614379882812,,Y,N,N,Y,N
54,E6,FALSE,CR2Apal_30C_113,D,UNKNOWN,FAM,NFQ-MGB,25.823415756225586,26.057868957519531,0.33156690001487732,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.53043235857059512,3.3620035648345947,2.0411393642425537,91.088943481445312,84.367050170898438,74.844375610351562,87.167839050292969,Y,N,N,Y,N
55,E7,FALSE,CR2Apal_30C_114,Apal,UNKNOWN,SYBR,None,18.408491134643555,18.617828369140625,0.29604619741439819,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.56254647505514521,2.966167688369751,2.5673325061798096,75.128730773925781,,,,Y,N,N,N,N
56,E8,FALSE,CR2Apal_30C_114,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1929419040679932,-0.0015640731435269117,90.397445678710938,87.455764770507812,71.766815185546875,67.984657287597656,Y,Y,N,Y,N
57,E9,FALSE,CR2Apal_30C_114,D,UNKNOWN,FAM,NFQ-MGB,24.929571151733398,25.182418823242188,0.35758194327354431,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.49519207549167166,3.4844305515289307,2.1540756225585938,92.822433471679688,77.11279296875,69.95928955078125,87.071578979492188,Y,N,N,Y,N
58,E10,FALSE,CR2Apal_30C_114,Apal,UNKNOWN,SYBR,None,18.827163696289062,18.617828369140625,0.29604619741439819,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.54407327453458065,3.4522604942321777,2.9963672161102295,75.289352416992188,,,,Y,N,N,N,N
59,E11,FALSE,CR2Apal_30C_114,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3727835416793823,0.00010101698717335239,89.719772338867188,77.103401184082031,70.935394287109375,81.589218139648438,Y,Y,N,Y,N
60,E12,FALSE,CR2Apal_30C_114,D,UNKNOWN,FAM,NFQ-MGB,25.435268402099609,25.182418823242188,0.35758194327354431,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.55597549426860748,3.5827856063842773,2.1968727111816406,67.571029663085938,92.663589477539062,70.655029296875,82.290130615234375,Y,N,N,Y,N
61,F1,FALSE,CR2Apal_30C_115,Apal,UNKNOWN,SYBR,None,17.545656204223633,17.69450569152832,0.21050496399402618,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.59567991525208275,3.1200177669525146,2.6397171020507812,75.142860412597656,,,,Y,N,N,N,N
62,F2,FALSE,CR2Apal_30C_115,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2445406913757324,0.0056881415657699108,77.105697631835938,83.414802551269531,91.686744689941406,87.340469360351562,Y,Y,N,Y,Y
