Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,G1,FALSE,CR2Apal_30C_117,Apal,UNKNOWN,SYBR,None,18.964504241943359,18.908588409423828,0.07907693088054657,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.4977702251309748,3.5534884929656982,3.1462564468383789,75.002655029296875,,,,Y,N,N,N,N
74,G2,FALSE,CR2Apal_30C_117,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2539634704589844,0.00017934339120984077,88.181686401367188,78.227310180664062,66.310104370117188,93.789779663085938,Y,Y,N,Y,N
75,G3,FALSE,CR2Apal_30C_117,D,UNKNOWN,FAM,NFQ-MGB,24.466466903686523,24.781997680664062,0.4462292492389679,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.47911599706373958,3.5493471622467041,2.2095465660095215,89.136032104492188,77.509834289550781,81.712074279785156,,Y,N,N,Y,N
76,G4,FALSE,CR2Apal_30C_117,Apal,UNKNOWN,SYBR,None,18.852672576904297,18.908588409423828,0.07907693088054657,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.41767704423905294,3.3659663200378418,2.9225411415100098,74.988494873046875,,,,Y,N,N,N,N
77,G5,FALSE,CR2Apal_30C_117,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1946647167205811,-9.3961622042115778e-05,77.225044250488281,90.808860778808594,64.201377868652344,,Y,Y,N,Y,N
78,G6,FALSE,CR2Apal_30C_117,D,UNKNOWN,FAM,NFQ-MGB,25.097530364990234,24.781997680664062,0.4462292492389679,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.57921639725051499,3.4425220489501953,2.1131410598754883,77.085006713867188,72.183624267578125,67.8424072265625,88.28814697265625,Y,N,N,Y,N
79,G7,FALSE,CR2Apal_30C_105,Apal,UNKNOWN,SYBR,None,16.826108932495117,16.699283599853516,0.17935945093631744,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.45798144743115587,3.5348601341247559,2.9630661010742188,75.128730773925781,,,,Y,N,N,N,N
80,G8,FALSE,CR2Apal_30C_105,A,UNKNOWN,FAM,NFQ-MGB,24.987493515014648,25.093032836914062,0.14925514161586761,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.44268525016403437,3.7031397819519043,2.5037386417388916,90.677597045898438,77.650169372558594,81.0120849609375,67.284255981445312,Y,N,N,Y,N
81,G9,FALSE,CR2Apal_30C_105,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2906895875930786,-0.0013836632715538144,77.11279296875,90.718460083007812,67.434524536132812,80.338874816894531,Y,Y,N,Y,Y
82,G10,FALSE,CR2Apal_30C_105,Apal,UNKNOWN,SYBR,None,16.572456359863281,16.699283599853516,0.17935945093631744,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.37647702512493836,3.2654767036437988,2.7916762828826904,75.149085998535156,,,,Y,N,N,N,N
83,G11,FALSE,CR2Apal_30C_105,A,UNKNOWN,FAM,NFQ-MGB,25.198572158813477,25.093032836914062,0.14925514161586761,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.47402480255290974,3.6869404315948486,2.4672434329986572,77.804306030273438,71.7764892578125,,,Y,N,N,Y,N
84,G12,FALSE,CR2Apal_30C_105,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3316365480422974,-0.00039565510815009475,76.963218688964844,81.028495788574219,67.711212158203125,87.757225036621094,Y,Y,N,Y,Y
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.35235726833343506,-0.0050516901537775993,82.012779235839844,91.686744689941406,76.825286865234375,72.619216918945312,Y,Y,N,Y,Y
86,H2,FALSE,NTC,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3150051832199097,0.0050268732011318207,90.004318237304688,65.889495849609375,85.237434387207031,72.759414672851562,Y,Y,N,Y,Y
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3922531604766846,-0.00098923034965991974,77.509834289550781,85.213943481445312,87.73529052734375,91.377227783203125,Y,Y,N,Y,Y
94,H10,FALSE,+,Apal,UNKNOWN,SYBR,None,27.347593307495117,27.699972152709961,0.49833893775939941,,,,,,,,FALSE,0.01,TRUE,3,26,Amp,,0.56823765927199255,3.0583865642547607,2.7627112865447998,75.149085998535156,,,,Y,N,N,N,N
95,H11,FALSE,+,A,UNKNOWN,FAM,NFQ-MGB,18.175540924072266,17.703815460205078,0.66712188720703125,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.34725965962031907,5.0515689849853516,3.8150193691253662,76.823036193847656,63.64593505859375,92.102867126464844,80.888313293457031,Y,N,Y,Y,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,17.348617553710938,17.054401397705078,0.41608583927154541,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.54484617502215593,4.2429327964782715,2.8093850612640381,77.243583679199219,63.225387573242188,66.30938720703125,91.682319641113281,Y,N,N,Y,N
