Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,G3,FALSE,CR2Apal_36C_NEC2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,Y,N,74.293914794921875,N,63.503715515136719,N,84.243331909179688,N,N,88.727569580078125
76,G4,FALSE,CR2Apal_36C_NEC2,Apal,UNKNOWN,SYBR,None,29.76371955871582,30.354820251464844,0.83594262599945068,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.53776219826019089,Y,N,Y,N,N,N,N,74.714317321777344,N,,N,,N,N,
77,G5,FALSE,CR2Apal_36C_NEC2,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,75.555450439453125,N,93.910491943359375,N,79.899009704589844,N,N,83.822219848632812
78,G6,FALSE,CR2Apal_36C_NEC2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,73.593841552734375,N,61.543964385986328,N,88.446014404296875,N,N,78.49786376953125
79,G7,FALSE,CR2Apal_36C_NEC1_BOAT,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,9,No Amp,,0,Y,N,N,N,N,N,N,63.646568298339844,Y,,N,,N,N,
80,G8,FALSE,CR2Apal_36C_NEC1_BOAT,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,76.683258056640625,N,88.598526000976562,N,79.907394409179688,N,N,92.243194580078125
81,G9,FALSE,CR2Apal_36C_NEC1_BOAT,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,Y,N,74.876609802246094,N,88.769210815429688,N,84.699661254882812,N,N,68.842445373535156
82,G10,FALSE,CR2Apal_36C_NEC1_BOAT,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,N,N,N,N,88.348220825195312,Y,,N,,N,N,
83,G11,FALSE,CR2Apal_36C_NEC1_BOAT,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,88.752822875976562,N,62.946937561035156,N,76.130378723144531,N,N,71.642402648925781
84,G12,FALSE,CR2Apal_36C_NEC1_BOAT,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,74.307136535644531,N,65.611679077148438,N,89.0333251953125,N,N,80.758613586425781
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,10.155969619750977,10.015829086303711,0.19818796217441559,,,,,,,,FALSE,0.01,TRUE,3,8,No Amp,,0.28736579330672823,Y,N,N,N,N,N,N,62.385196685791016,N,,N,,N,Y,
86,H2,FALSE,NTC,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,8,No Amp,,0,Y,N,N,Y,N,N,N,75.706405639648438,N,91.271194458007812,N,80.614227294921875,N,N,84.961143493652344
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,63.083316802978516,N,87.74664306640625,N,90.128890991210938,N,N,74.434051513671875
94,H10,FALSE,+,Apal,UNKNOWN,SYBR,None,36.324253082275391,31.570426940917969,6.7229242324829102,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,Y,N,N,69.965080261230469,Y,,Y,,Y,N,
95,H11,FALSE,+,A,UNKNOWN,FAM,NFQ-MGB,23.861797332763672,19.380132675170898,6.3380308151245117,,,,,,,,FALSE,0.01,TRUE,3,21,No Amp,,0,Y,N,Y,N,Y,N,N,82.161102294921875,Y,,Y,,Y,N,
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,13.790026664733887,13.725119590759277,0.091792464256286621,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.59953411022160341,Y,N,N,Y,N,N,N,76.551132202148438,N,81.7403564453125,N,69.819160461425781,N,N,65.892173767089844
