Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B11,FALSE,CR2Apal_36C_110,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,90.435821533203125,N,86.929580688476562,N,82.441604614257812,N,N,77.25238037109375
24,B12,FALSE,CR2Apal_36C_110,D,UNKNOWN,FAM,NFQ-MGB,31.822311401367188,32.481918334960938,0.93282777070999146,,,,,,,,FALSE,0.01,TRUE,3,30,Amp,,0.87919612832285909,N,N,Y,Y,N,N,N,88.752822875976562,N,65.611679077148438,N,74.4473876953125,N,N,83.703849792480469
25,C1,FALSE,CR2Apal_36C_111,Apal,UNKNOWN,SYBR,None,20.190547943115234,20.052335739135742,0.19546157121658325,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.55305718758689659,Y,N,N,N,N,N,N,74.865066528320312,N,,N,,N,N,
26,C2,FALSE,CR2Apal_36C_111,A,UNKNOWN,FAM,NFQ-MGB,31.602535247802734,32.831108093261719,1.7374670505523682,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.78941903439658068,Y,N,Y,Y,N,N,N,75.285736083984375,N,88.186279296875,N,80.193557739257812,N,N,69.256134033203125
27,C3,FALSE,CR2Apal_36C_111,D,UNKNOWN,FAM,NFQ-MGB,30.532281875610352,30.721931457519531,0.26820635795593262,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.90360364219441136,N,N,N,Y,N,N,N,74.574188232421875,N,88.167037963867188,N,69.2491455078125,N,N,66.166229248046875
28,C4,FALSE,CR2Apal_36C_111,Apal,UNKNOWN,SYBR,None,19.91412353515625,20.052335739135742,0.19546157121658325,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.45642887017887507,Y,N,N,N,N,N,N,75.134712219238281,N,,N,,N,N,
29,C5,FALSE,CR2Apal_36C_111,A,UNKNOWN,FAM,NFQ-MGB,34.059684753417969,32.831108093261719,1.7374670505523682,,,,,,,,FALSE,0.01,TRUE,3,32,Inconclusive,,0.74801237208565574,Y,N,Y,Y,N,N,N,75.275222778320312,N,70.791542053222656,N,87.184982299804688,N,N,80.45947265625
30,C6,FALSE,CR2Apal_36C_111,D,UNKNOWN,FAM,NFQ-MGB,30.911582946777344,30.721931457519531,0.26820635795593262,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.91798693199039105,N,N,N,Y,N,N,N,74.714759826660156,N,83.261764526367188,N,79.478668212890625,N,N,
31,C7,FALSE,CR2Apal_36C_112,Apal,UNKNOWN,SYBR,None,18.944696426391602,18.701883316040039,0.3433896005153656,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46406466344685321,Y,N,N,N,N,N,N,75.001106262207031,N,,N,,N,N,
32,C8,FALSE,CR2Apal_36C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,76.262725830078125,N,90.701217651367188,N,83.131523132324219,N,N,78.785957336425781
33,C9,FALSE,CR2Apal_36C_112,D,UNKNOWN,FAM,NFQ-MGB,27.162237167358398,26.859615325927734,0.42797327041625977,,,,,,,,FALSE,0.01,TRUE,3,26,Amp,,0.7511193050069398,Y,N,N,Y,N,N,N,74.455619812011719,N,90.172500610351562,N,,N,N,
34,C10,FALSE,CR2Apal_36C_112,Apal,UNKNOWN,SYBR,None,18.459070205688477,18.701883316040039,0.3433896005153656,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.4919087335936369,Y,N,N,N,N,N,N,75.157264709472656,N,,N,,N,N,
35,C11,FALSE,CR2Apal_36C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,91.83831787109375,N,65.471427917480469,N,76.130378723144531,N,N,78.935371398925781
36,C12,FALSE,CR2Apal_36C_112,D,UNKNOWN,FAM,NFQ-MGB,26.556991577148438,26.859615325927734,0.42797327041625977,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.66462687448499369,Y,N,N,Y,N,N,N,75.569381713867188,N,92.820053100585938,N,78.795120239257812,N,N,88.05157470703125
37,D1,FALSE,CR2Apal_36C_113,Apal,UNKNOWN,SYBR,None,21.25865364074707,21.60334587097168,0.487468421459198,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.41170240669828845,Y,N,N,N,N,N,N,74.724845886230469,N,,N,,N,N,
38,D2,FALSE,CR2Apal_36C_113,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,77.669532775878906,N,92.953872680664062,N,89.86895751953125,N,N,68.555023193359375
39,D3,FALSE,CR2Apal_36C_113,D,UNKNOWN,FAM,NFQ-MGB,31.015844345092773,30.633335113525391,0.54094839096069336,,,,,,,,FALSE,0.01,TRUE,3,30,Amp,,0.89602254698611195,N,N,Y,Y,N,N,N,65.605705261230469,N,75.41497802734375,N,83.963066101074219,N,N,88.727569580078125
40,D4,FALSE,CR2Apal_36C_113,Apal,UNKNOWN,SYBR,None,21.948038101196289,21.60334587097168,0.487468421459198,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.52245093565896461,Y,N,N,N,N,N,N,74.994583129882812,N,,N,,N,N,
41,D5,FALSE,CR2Apal_36C_113,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,76.11590576171875,N,92.9296875,N,63.365455627441406,N,N,67.428787231445312
42,D6,FALSE,CR2Apal_36C_113,D,UNKNOWN,FAM,NFQ-MGB,30.250827789306641,30.633335113525391,0.54094839096069336,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.90507786095008735,N,N,Y,Y,N,N,N,74.994987487792969,N,79.478668212890625,N,71.492118835449219,N,N,65.887527465820312
43,D7,FALSE,CR2Apal_36C_114,Apal,UNKNOWN,SYBR,None,21.372089385986328,21.471141815185547,0.14008128643035889,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.52778311500857877,Y,N,N,N,N,N,N,75.001106262207031,N,,N,,N,N,
44,D8,FALSE,CR2Apal_36C_114,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,76.402900695800781,N,92.523544311523438,N,67.151054382324219,N,N,64.487640380859375
45,D9,FALSE,CR2Apal_36C_114,D,UNKNOWN,FAM,NFQ-MGB,30.436925888061523,30.433460235595703,0.0049025216139853001,,,,,,,,FALSE,0.01,TRUE,3,29,Amp,,0.91053208973454525,N,N,N,Y,N,N,N,74.736282348632812,N,69.965080261230469,N,84.138343811035156,N,N,92.979087829589844
