Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C1,FALSE,CR2Apal_34C_111,Apal,UNKNOWN,SYBR,None,20.097091674804688,19.998008728027344,0.14012309908866882,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.97496698353345523,N,N,N,N,N,75.137168884277344,,,
26,C2,FALSE,CR2Apal_34C_111,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,No Amp,,0,Y,N,N,Y,N,75.137168884277344,90.972099304199219,77.939811706542969,69.251617431640625
27,C3,FALSE,CR2Apal_34C_111,D,UNKNOWN,FAM,NFQ-MGB,26.605104446411133,26.635787963867188,0.043393045663833618,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.97944080232966668,N,N,N,Y,N,77.355178833007812,87.7105712890625,69.9384765625,81.2734375
28,C4,FALSE,CR2Apal_34C_111,Apal,UNKNOWN,SYBR,None,19.898927688598633,19.998008728027344,0.14012309908866882,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96744640009862426,N,N,N,N,N,75.256111145019531,,,
29,C5,FALSE,CR2Apal_34C_111,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,74.949172973632812,89.476966857910156,,
30,C6,FALSE,CR2Apal_34C_111,D,UNKNOWN,FAM,NFQ-MGB,26.666471481323242,26.635787963867188,0.043393045663833618,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96836134842981991,N,N,N,Y,N,89.75634765625,77.463592529296875,93.807373046875,68.663101196289062
31,C7,FALSE,CR2Apal_34C_112,Apal,UNKNOWN,SYBR,None,20.822515487670898,20.974613189697266,0.21509863436222076,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.98275304636648952,N,N,N,N,N,75.115501403808594,,,
32,C8,FALSE,CR2Apal_34C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,35,No Amp,,0,Y,N,N,Y,N,75.955116271972656,88.269500732421875,81.13275146484375,
33,C9,FALSE,CR2Apal_34C_112,D,UNKNOWN,FAM,NFQ-MGB,27.146087646484375,26.985748291015625,0.22675274312496185,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96627812286474135,N,N,N,Y,N,77.525741577148438,90.001861572265625,,
34,C10,FALSE,CR2Apal_34C_112,Apal,UNKNOWN,SYBR,None,21.126710891723633,20.974613189697266,0.21509863436222076,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.97103575293625588,N,N,N,N,N,75.423027038574219,,,
35,C11,FALSE,CR2Apal_34C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,74.994186401367188,89.5655517578125,77.936485290527344,93.348503112792969
36,C12,FALSE,CR2Apal_34C_112,D,UNKNOWN,FAM,NFQ-MGB,26.825410842895508,26.985748291015625,0.22675274312496185,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96622616164019703,N,N,N,Y,N,78.076591491699219,89.5655517578125,66.447525024414062,72.472221374511719
37,D1,FALSE,CR2Apal_34C_113,Apal,UNKNOWN,SYBR,None,21.115118026733398,21.311067581176758,0.27711451053619385,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96553666975198993,N,N,N,N,N,75.137168884277344,,,
38,D2,FALSE,CR2Apal_34C_113,A,UNKNOWN,FAM,NFQ-MGB,27.922271728515625,27.827178955078125,0.13448014855384827,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.9593387047831009,N,N,N,Y,N,75.69769287109375,82.984565734863281,88.309585571289062,
39,D3,FALSE,CR2Apal_34C_113,D,UNKNOWN,FAM,NFQ-MGB,27.740034103393555,27.819486618041992,0.1123628243803978,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95538184416093952,N,N,N,Y,N,82.113067626953125,89.529762268066406,78.05487060546875,93.867828369140625
40,D4,FALSE,CR2Apal_34C_113,Apal,UNKNOWN,SYBR,None,21.507017135620117,21.311067581176758,0.27711451053619385,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96654203735792688,N,N,N,N,N,75.116180419921875,,,
41,D5,FALSE,CR2Apal_34C_113,A,UNKNOWN,FAM,NFQ-MGB,27.732088088989258,27.827178955078125,0.13448014855384827,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95854712518587459,N,N,N,Y,N,87.52130126953125,76.485763549804688,66.5677490234375,
42,D6,FALSE,CR2Apal_34C_113,D,UNKNOWN,FAM,NFQ-MGB,27.89893913269043,27.819486618041992,0.1123628243803978,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96303263917900106,N,N,N,Y,N,77.044525146484375,89.197586059570312,,
43,D7,FALSE,CR2Apal_34C_114,Apal,UNKNOWN,SYBR,None,20.156768798828125,20.194318771362305,0.053103681653738022,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9771106662871637,N,N,N,N,N,75.115501403808594,,,
44,D8,FALSE,CR2Apal_34C_114,A,UNKNOWN,FAM,NFQ-MGB,34.614192962646484,34.691673278808594,0.10957101732492447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.93309029693373691,N,N,N,Y,N,76.095054626464844,80.573013305664062,89.528923034667969,69.098243713378906
45,D9,FALSE,CR2Apal_34C_114,D,UNKNOWN,FAM,NFQ-MGB,26.27153205871582,26.339286804199219,0.095819681882858276,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96318762073257636,N,N,N,Y,N,89.300956726074219,78.226646423339844,75.002487182617188,94.067115783691406
46,D10,FALSE,CR2Apal_34C_114,Apal,UNKNOWN,SYBR,None,20.231868743896484,20.194318771362305,0.053103681653738022,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.97827290703096448,N,N,N,N,N,75.282844543457031,,,
47,D11,FALSE,CR2Apal_34C_114,A,UNKNOWN,FAM,NFQ-MGB,34.769149780273438,34.691673278808594,0.10957101732492447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.91701704098701631,N,N,N,Y,N,75.694732666015625,81.999649047851562,89.285331726074219,79.477684020996094
48,D12,FALSE,CR2Apal_34C_114,D,UNKNOWN,FAM,NFQ-MGB,26.407041549682617,26.339286804199219,0.095819681882858276,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9595726520470067,N,N,N,Y,N,76.675498962402344,88.02435302734375,69.249710083007812,78.637031555175781
49,E1,FALSE,CR2Apal_34C_115,Apal,UNKNOWN,SYBR,None,20.915790557861328,20.820999145507812,0.13405530154705048,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.98307134996624035,N,N,N,N,N,75.137168884277344,,,
50,E2,FALSE,CR2Apal_34C_115,A,UNKNOWN,FAM,NFQ-MGB,36.722846984863281,36.632396697998047,0.12791602313518524,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Amp,,0.83150343237992286,N,N,N,Y,N,74.997039794921875,84.806289672851562,69.531883239746094,89.430648803710938
