Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,G9,FALSE,MAp_T4_650,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,77.806106567382812,67.15234375,60.563827514648438,
82,G10,FALSE,MAp_T4_650,Apal,UNKNOWN,SYBR,None,26.409463882446289,26.334510803222656,0.10599831491708755,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96998118372359166,N,N,N,N,N,75.142662048339844,,,
83,G11,FALSE,MAp_T4_650,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,78.496917724609375,70.650802612304688,66.447525024414062,82.560089111328125
84,G12,FALSE,MAp_T4_650,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,90.546318054199219,77.0958251953125,64.065666198730469,66.867851257324219
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,No Amp,,0,Y,N,N,Y,Y,92.093154907226562,82.704299926757812,74.576644897460938,89.851043701171875
86,H2,FALSE,NTC,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,75.97796630859375,90.411575317382812,81.723381042480469,64.066726684570312
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,78.194808959960938,83.232566833496094,66.579971313476562,88.410263061523438
88,H4,FALSE,MAp_T4_656,Apal,UNKNOWN,SYBR,None,26.204811096191406,26.21044921875,0.0079735098406672478,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96159721240253004,N,N,N,N,N,74.8363037109375,,,
89,H5,FALSE,MAp_T4_656,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,75.368240356445312,69.361557006835938,64.891464233398438,86.543472290039062
90,H6,FALSE,MAp_T4_656,D,UNKNOWN,FAM,NFQ-MGB,34.964550018310547,34.4239501953125,0.76452362537384033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.92211408182158949,N,N,Y,Y,N,88.359443664550781,77.463592529296875,70.339385986328125,92.689849853515625
91,H7,FALSE,MAp_T4_656,Apal,UNKNOWN,SYBR,None,26.216087341308594,26.21044921875,0.0079735098406672478,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96281263652644022,N,N,N,N,N,74.975563049316406,,,
92,H8,FALSE,MAp_T4_656,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,75.25543212890625,65.879714965820312,90.788345336914062,87.289947509765625
93,H9,FALSE,MAp_T4_656,D,UNKNOWN,FAM,NFQ-MGB,33.883350372314453,34.4239501953125,0.76452362537384033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.95539138288651704,N,N,Y,Y,N,76.824836730957031,87.758964538574219,91.684036254882812,65.189804077148438
94,H10,FALSE,+,Apal,UNKNOWN,SYBR,None,27.729896545410156,27.745044708251953,0.021422738209366798,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96347132876955055,N,N,N,N,N,75.002487182617188,,,
95,H11,FALSE,+,A,UNKNOWN,FAM,NFQ-MGB,20.398149490356445,20.406497955322266,0.011807860806584358,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.79864490988315273,Y,N,N,Y,N,74.013427734375,88.724899291992188,65.326652526855469,
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,18.718999862670898,18.818424224853516,0.14060728251934052,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.9584606885106397,N,N,N,Y,N,77.0958251953125,69.249710083007812,61.123371124267578,80.878776550292969
