Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;
15.06.22;20:11:18;1;0;0.0176;0.0191;0.0073;0.1178;0.0919;0.0494;0.0464;0.0039;0.0797;0.0024;0.0176;0.0674;0.0059;0.0640;0.0068;0.0899;0.0298;0.0308;0.0112;0.1584;0.1359;0.0723;0.0890;0.0054;0.1364;0.0039;0.0293;0.1153;0.0093;0.0997;0.0112;0.1413;0.410;0.381;0.000;0.256;0.324;0.318;0.478;0.000;0.416;0.000;0.400;0.415;0.000;0.358;0.000;0.363;
15.06.22;20:13:17;2;0;0.1149;0.1075;0.1163;0.1095;0.1065;0.1300;0.1012;0.0860;0.0943;0.0968;0.0855;0.0934;0.1056;0.1002;0.1153;0.1158;0.1940;0.1779;0.1662;0.1603;0.1901;0.2375;0.1544;0.1520;0.1530;0.1496;0.1442;0.1505;0.1784;0.1755;0.1979;0.1891;0.408;0.396;0.300;0.317;0.440;0.453;0.345;0.434;0.383;0.353;0.407;0.380;0.408;0.429;0.417;0.388;
