Serial Number:20850768 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 15:23:59,33.29,286, , , , 
2022-06-13 15:25:59,33.33,247, , , , 
2022-06-13 15:27:59,33.29,324, , , , 
2022-06-13 15:29:59,33.29,257, , , , 
2022-06-13 15:31:59,33.29,294, , , , 
2022-06-13 15:33:59,33.25,268, , , , 
2022-06-13 15:35:59,33.29,295, , , , 
2022-06-13 15:37:59,33.25,335, , , , 
2022-06-13 15:39:59,33.25,292, , , , 
2022-06-13 15:41:59,33.20,295, , , , 
2022-06-13 15:43:59,33.16,288, , , , 
2022-06-13 15:45:59,33.16,309, , , , 
2022-06-13 15:47:59,33.25,317, , , , 
2022-06-13 15:49:59,33.20,322, , , , 
2022-06-13 15:51:59,33.20,286, , , , 
2022-06-13 15:53:59,33.20,292, , , , 
2022-06-13 15:55:59,33.16,303, , , , 
2022-06-13 15:57:59,33.29,294, , , , 
2022-06-13 15:59:59,33.29,298, , , , 
2022-06-13 16:01:59,33.20,233, , , , 
2022-06-13 16:03:59,32.99,224, , , , 
2022-06-13 16:05:59,32.90,216, , , , 
2022-06-13 16:07:59,32.86,216, , , , 
2022-06-13 16:09:59,32.77,225, , , , 
2022-06-13 16:11:59,32.69,224, , , , 
2022-06-13 16:13:59,32.60,286, , , , 
2022-06-13 16:15:59,32.56,268, , , , 
2022-06-13 16:17:59,32.43,266, , , , 
2022-06-13 16:19:59,32.43,261, , , , 
2022-06-13 16:21:59,32.26,262, , , , 
2022-06-13 16:23:59,32.26,266, , , , 
2022-06-13 16:25:59,32.22,267, , , , 
2022-06-13 16:27:59,32.17,259, , , , 
2022-06-13 16:29:59,32.13,267, , , , 
2022-06-13 16:31:59,32.04,281, , , , 
2022-06-13 16:33:59,32.04,329, , , , 
2022-06-13 16:35:59,31.96,302, , , , 
2022-06-13 16:37:59,31.92,345, , , , 
2022-06-13 16:39:59,31.87,326, , , , 
2022-06-13 16:41:59,31.83,289, , , , 
