Serial Number:20834982 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-14 02:13:15,27.93,0, , , , 
2022-06-14 02:15:15,27.97,0, , , , 
2022-06-14 02:17:15,27.93,0, , , , 
2022-06-14 02:19:15,27.88,0, , , , 
2022-06-14 02:21:15,27.88,0, , , , 
2022-06-14 02:23:15,27.88,0, , , , 
2022-06-14 02:25:15,27.88,0, , , , 
2022-06-14 02:27:15,27.84,0, , , , 
2022-06-14 02:29:15,27.88,0, , , , 
2022-06-14 02:31:15,27.88,0, , , , 
2022-06-14 02:33:15,27.88,0, , , , 
2022-06-14 02:35:15,27.88,0, , , , 
2022-06-14 02:37:15,27.88,0, , , , 
2022-06-14 02:39:15,27.93,0, , , , 
2022-06-14 02:41:15,27.88,0, , , , 
2022-06-14 02:43:15,27.93,0, , , , 
2022-06-14 02:45:15,27.88,0, , , , 
2022-06-14 02:47:15,27.88,0, , , , 
2022-06-14 02:49:15,27.88,0, , , , 
2022-06-14 02:51:15,27.88,0, , , , 
2022-06-14 02:53:15,27.88,0, , , , 
2022-06-14 02:55:15,27.88,0, , , , 
2022-06-14 02:57:15,27.88,0, , , , 
2022-06-14 02:59:15,27.88,0, , , , 
2022-06-14 03:01:15,27.88,0, , , , 
2022-06-14 03:03:15,27.88,0, , , , 
2022-06-14 03:05:15,27.80,0, , , , 
2022-06-14 03:07:15,27.80,0, , , , 
2022-06-14 03:09:15,27.80,0, , , , 
2022-06-14 03:11:15,27.80,0, , , , 
2022-06-14 03:13:15,27.80,0, , , , 
2022-06-14 03:15:15,27.80,0, , , , 
2022-06-14 03:17:15,27.75,0, , , , 
2022-06-14 03:19:15,27.75,0, , , , 
2022-06-14 03:21:15,27.84,0, , , , 
2022-06-14 03:23:15,27.80,0, , , , 
2022-06-14 03:25:15,27.84,0, , , , 
2022-06-14 03:27:15,27.88,0, , , , 
2022-06-14 03:29:15,27.80,0, , , , 
2022-06-14 03:31:15,27.80,0, , , , 
2022-06-14 03:33:15,27.84,0, , , , 
2022-06-14 03:35:15,27.88,0, , , , 
2022-06-14 03:37:15,27.84,0, , , , 
2022-06-14 03:39:15,27.93,6, , , , 
2022-06-14 03:41:15,27.88,5, , , , 
2022-06-14 03:43:15,27.88,0, , , , 
2022-06-14 03:45:15,27.84,0, , , , 
2022-06-14 03:47:15,27.93,4, , , , 
2022-06-14 03:49:15,27.88,5, , , , 
2022-06-14 03:51:15,27.88,5, , , , 
2022-06-14 03:53:15,27.93,5, , , , 
2022-06-14 03:55:15,27.93,5, , , , 
2022-06-14 03:57:15,27.93,5, , , , 
2022-06-14 03:59:15,27.88,3, , , , 
2022-06-14 04:01:15,27.93,5, , , , 
2022-06-14 04:03:15,27.88,5, , , , 
2022-06-14 04:05:15,27.93,5, , , , 
2022-06-14 04:07:15,27.93,5, , , , 
2022-06-14 04:09:15,27.93,5, , , , 
2022-06-14 04:11:15,27.88,5, , , , 
2022-06-14 04:13:15,27.88,5, , , , 
2022-06-14 04:15:15,27.88,5, , , , 
2022-06-14 04:17:15,27.88,5, , , , 
2022-06-14 04:19:15,27.88,5, , , , 
2022-06-14 04:21:15,27.84,5, , , , 
2022-06-14 04:23:15,27.88,5, , , , 
2022-06-14 04:25:15,27.93,5, , , , 
2022-06-14 04:27:15,27.88,5, , , , 
2022-06-14 04:29:15,27.88,5, , , , 
2022-06-14 04:31:15,27.88,5, , , , 
2022-06-14 04:33:15,27.88,5, , , , 
2022-06-14 04:35:15,27.88,5, , , , 
2022-06-14 04:37:15,27.84,5, , , , 
2022-06-14 04:39:15,27.88,5, , , , 
2022-06-14 04:41:15,27.88,5, , , , 
2022-06-14 04:43:15,27.84,5, , , , 
2022-06-14 04:45:15,27.88,5, , , , 
2022-06-14 04:47:15,27.84,5, , , , 
2022-06-14 04:49:15,27.84,5, , , , 
2022-06-14 04:51:15,27.84,5, , , , 
2022-06-14 04:53:15,27.88,5, , , , 
2022-06-14 04:55:15,27.84,5, , , , 
2022-06-14 04:57:15,27.88,5, , , , 
2022-06-14 04:59:15,27.84,5, , , , 
2022-06-14 05:01:15,27.93,5, , , , 
2022-06-14 05:03:15,27.93,5, , , , 
2022-06-14 05:05:15,27.93,5, , , , 
2022-06-14 05:07:15,27.93,5, , , , 
2022-06-14 05:09:15,27.88,5, , , , 
2022-06-14 05:11:15,28.01,5, , , , 
2022-06-14 05:13:15,27.97,5, , , , 
2022-06-14 05:15:15,27.88,5, , , , 
2022-06-14 05:17:15,27.97,5, , , , 
2022-06-14 05:19:15,27.97,5, , , , 
2022-06-14 05:21:15,27.97,5, , , , 
2022-06-14 05:23:15,27.97,5, , , , 
2022-06-14 05:25:15,27.97,5, , , , 
2022-06-14 05:27:15,27.97,5, , , , 
2022-06-14 05:29:15,27.97,5, , , , 
2022-06-14 05:31:15,28.01,5, , , , 
2022-06-14 05:33:15,27.97,5, , , , 
2022-06-14 05:35:15,27.97,0, , , , 
2022-06-14 05:37:15,27.93,0, , , , 
2022-06-14 05:39:15,27.97,0, , , , 
2022-06-14 05:41:15,27.93,0, , , , 
2022-06-14 05:43:15,27.93,0, , , , 
2022-06-14 05:45:15,27.97,0, , , , 
2022-06-14 05:47:15,27.93,0, , , , 
2022-06-14 05:49:15,27.97,0, , , , 
2022-06-14 05:51:15,27.93,0, , , , 
2022-06-14 05:53:15,27.97,0, , , , 
2022-06-14 05:55:15,27.97,0, , , , 
2022-06-14 05:57:15,27.97,0, , , , 
2022-06-14 05:59:15,27.97,0, , , , 
2022-06-14 06:01:15,27.97,0, , , , 
2022-06-14 06:03:15,27.97,0, , , , 
2022-06-14 06:05:15,27.97,0, , , , 
2022-06-14 06:07:15,27.97,0, , , , 
2022-06-14 06:09:15,28.01,0, , , , 
2022-06-14 06:11:15,28.01,0, , , , 
2022-06-14 06:13:15,28.01,0, , , , 
2022-06-14 06:15:15,28.01,1, , , , 
2022-06-14 06:17:15,28.01,1, , , , 
2022-06-14 06:19:15,27.97,2, , , , 
2022-06-14 06:21:15,27.97,3, , , , 
2022-06-14 06:23:15,27.93,4, , , , 
2022-06-14 06:25:15,27.93,6, , , , 
2022-06-14 06:27:15,28.01,9, , , , 
2022-06-14 06:29:15,27.93,12, , , , 
2022-06-14 06:31:15,27.97,15, , , , 
2022-06-14 06:33:15,27.97,18, , , , 
2022-06-14 06:35:15,27.93,25, , , , 
2022-06-14 06:37:15,27.93,29, , , , 
2022-06-14 06:39:15,27.93,35, , , , 
2022-06-14 06:41:15,27.93,42, , , , 
2022-06-14 06:43:15,27.93,50, , , , 
2022-06-14 06:45:15,27.97,57, , , , 
2022-06-14 06:47:15,27.93,65, , , , 
2022-06-14 06:49:15,28.01,74, , , , 
2022-06-14 06:51:15,27.97,86, , , , 
2022-06-14 06:53:15,28.01,106, , , , 
2022-06-14 06:55:15,27.97,117, , , , 
2022-06-14 06:57:15,27.97,133, , , , 
2022-06-14 06:59:15,28.01,169, , , , 
2022-06-14 07:01:15,28.05,179, , , , 
2022-06-14 07:03:15,28.05,224, , , , 
