Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A7,FALSE,CR2Apal_36C_2,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,N/A,,,,,,
8,A8,FALSE,CR2Apal_36C_2,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,N/A,,,,,,
9,A9,FALSE,CR2Apal_36C_2,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,N/A,,,,,,
10,A10,FALSE,CR2Apal_36C_2,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,N/A,,,,,,
11,A11,FALSE,NTC,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,N/A,,,,,,
12,A12,FALSE,NTC,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,N/A,,,,,,
13,B1,FALSE,CR2Apal_36C_3,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,N/A,,,,,,
14,B2,FALSE,CR2Apal_36C_3,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,N/A,,,,,,
15,B3,FALSE,CR2Apal_36C_3,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,N/A,,,,,,
16,B4,FALSE,CR2Apal_36C_3,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,N/A,,,,,,
17,B5,FALSE,CR2Apal_36C_4,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,N/A,,,,,,
18,B6,FALSE,CR2Apal_36C_4,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,N/A,,,,,,
19,B7,FALSE,CR2Apal_36C_4,Apal,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,N/A,,,,,,
20,B8,FALSE,CR2Apal_36C_4,A,UNKNOWN,SYBR,None,,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,N/A,,,,,,
