29,C5,FALSE,CR2Apal_34C_51,Apal,UNKNOWN,SYBR,None,21.14655876159668,20.666013717651367,0.67959332466125488,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.98382581698763538,N,N,Y,N,75.141937255859375,,,
30,C6,FALSE,CR2Apal_34C_51,A,UNKNOWN,SYBR,None,24.922246932983398,24.929927825927734,0.010862423107028008,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96579708764866878,N,N,N,N,87.802322387695312,,,
31,C7,FALSE,CR2Apal_34C_51,Apal,UNKNOWN,SYBR,None,20.185468673706055,20.666013717651367,0.67959332466125488,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.96942387604160574,N,N,Y,N,75.15008544921875,,,
32,C8,FALSE,CR2Apal_34C_51,A,UNKNOWN,SYBR,None,24.93760871887207,24.929927825927734,0.010862423107028008,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95267718744868124,N,N,N,N,87.8165283203125,,,
33,C9,FALSE,CR2Apal_34C_52,Apal,UNKNOWN,SYBR,None,18.985809326171875,20.124002456665039,1.6096481084823608,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.96962984823051646,N,N,Y,N,75.309555053710938,,,
34,C10,FALSE,CR2Apal_34C_52,A,UNKNOWN,SYBR,None,25.089242935180664,25.233814239501953,0.204454705119133,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95871960586779259,N,N,N,N,87.991691589355469,,,
35,C11,FALSE,CR2Apal_34C_52,Apal,UNKNOWN,SYBR,None,21.262195587158203,20.124002456665039,1.6096481084823608,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.90224826023098093,N,N,Y,N,75.165641784667969,,,
36,C12,FALSE,CR2Apal_34C_52,A,UNKNOWN,SYBR,None,25.378385543823242,25.233814239501953,0.204454705119133,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96470925760602544,N,N,N,N,87.841720581054688,,,
37,D1,FALSE,CR2Apal_34C_53,Apal,UNKNOWN,SYBR,None,22.383846282958984,22.565608978271484,0.2570512592792511,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.98867393703740147,N,N,N,N,75.167007446289062,,,
38,D2,FALSE,CR2Apal_34C_53,A,UNKNOWN,SYBR,None,29.182041168212891,29.220039367675781,0.053736221045255661,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.97296659048939005,N,N,N,N,87.843551635742188,,,
39,D3,FALSE,CR2Apal_34C_53,Apal,UNKNOWN,SYBR,None,22.747371673583984,22.565608978271484,0.2570512592792511,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96078442880096548,N,N,N,N,75.848793029785156,,,
40,D4,FALSE,CR2Apal_34C_53,A,UNKNOWN,SYBR,None,29.258035659790039,29.220039367675781,0.053736221045255661,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96260048108595597,N,N,N,N,87.820053100585938,,,
41,D5,FALSE,CR2Apal_34C_54,Apal,UNKNOWN,SYBR,None,19.610952377319336,19.505039215087891,0.14978383481502533,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.96590090371938198,N,N,N,N,75.141937255859375,,,
42,D6,FALSE,CR2Apal_34C_54,A,UNKNOWN,SYBR,None,23.839889526367188,23.983449935913086,0.20302507281303406,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94579288386929217,N,N,N,N,87.802322387695312,,,
43,D7,FALSE,CR2Apal_34C_54,Apal,UNKNOWN,SYBR,None,19.399126052856445,19.505039215087891,0.14978383481502533,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.96102510273618102,N,N,N,N,75.15008544921875,,,
44,D8,FALSE,CR2Apal_34C_54,A,UNKNOWN,SYBR,None,24.127010345458984,23.983449935913086,0.20302507281303406,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93839660483102005,N,N,N,N,87.8165283203125,,,
45,D9,FALSE,CR2Apal_34C_55,Apal,UNKNOWN,SYBR,None,18.672134399414062,20.438945770263672,2.4986486434936523,,,,,,,,FALSE,0.10000000000000001,TRUE,3,13,Amp,,0.56195656310628306,Y,N,Y,N,75.309555053710938,,,
46,D10,FALSE,CR2Apal_34C_55,A,UNKNOWN,SYBR,None,26.444910049438477,25.8455810546875,0.84757918119430542,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96404664102605686,N,N,Y,N,87.991691589355469,,,
47,D11,FALSE,CR2Apal_34C_55,Apal,UNKNOWN,SYBR,None,22.205757141113281,20.438945770263672,2.4986486434936523,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.87792169845533652,N,N,Y,N,75.165641784667969,,,
48,D12,FALSE,CR2Apal_34C_55,A,UNKNOWN,SYBR,None,25.246252059936523,25.8455810546875,0.84757918119430542,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.98514029559160987,N,N,Y,N,87.841720581054688,,,
49,E1,FALSE,CR2Apal_34C_56,Apal,UNKNOWN,SYBR,None,20.003227233886719,19.999782562255859,0.0048715011216700077,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94833796608977694,N,N,N,N,75.027702331542969,,,
50,E2,FALSE,CR2Apal_34C_56,A,UNKNOWN,SYBR,None,24.745315551757812,24.759433746337891,0.019966142252087593,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95306598958432731,N,N,N,N,87.843551635742188,,,
51,E3,FALSE,CR2Apal_34C_56,Apal,UNKNOWN,SYBR,None,19.996337890625,19.999782562255859,0.0048715011216700077,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.98311049675591677,N,N,N,N,75.013587951660156,,,
52,E4,FALSE,CR2Apal_34C_56,A,UNKNOWN,SYBR,None,24.773551940917969,24.759433746337891,0.019966142252087593,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95873417855989551,N,N,N,N,87.680854797363281,,,
53,E5,FALSE,CR2Apal_34C_57,Apal,UNKNOWN,SYBR,None,19.900455474853516,19.423135757446289,0.67503201961517334,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.98305438006877521,N,N,Y,N,75.141937255859375,,,
54,E6,FALSE,CR2Apal_34C_57,A,UNKNOWN,SYBR,None,24.805850982666016,25.166728973388672,0.51035720109939575,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95855639198402665,N,N,Y,N,87.802322387695312,,,
55,E7,FALSE,CR2Apal_34C_57,Apal,UNKNOWN,SYBR,None,18.945816040039062,19.423135757446289,0.67503201961517334,,,,,,,,FALSE,0.10000000000000001,TRUE,3,13,Amp,,0.97853414812534778,N,N,Y,N,75.15008544921875,,,
56,E8,FALSE,CR2Apal_34C_57,A,UNKNOWN,SYBR,None,25.527605056762695,25.166728973388672,0.51035720109939575,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95690600599287534,N,N,Y,N,87.8165283203125,,,
57,E9,FALSE,CR2Apal_34C_58,Apal,UNKNOWN,SYBR,None,18.159299850463867,19.455165863037109,1.8326326608657837,,,,,,,,FALSE,0.10000000000000001,TRUE,3,12,Amp,,0.84137150018664209,N,N,Y,N,75.309555053710938,,,
58,E10,FALSE,CR2Apal_34C_58,A,UNKNOWN,SYBR,None,25.365987777709961,24.956535339355469,0.57905453443527222,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9534570242769469,N,N,Y,N,87.852325439453125,,,
59,E11,FALSE,CR2Apal_34C_58,Apal,UNKNOWN,SYBR,None,20.751033782958984,19.455165863037109,1.8326326608657837,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.85036188098199827,N,N,Y,N,75.165641784667969,,,
60,E12,FALSE,CR2Apal_34C_58,A,UNKNOWN,SYBR,None,24.547080993652344,24.956535339355469,0.57905453443527222,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94993375354341225,N,N,Y,N,87.841720581054688,,,
61,F1,FALSE,CR2Apal_34C_59,Apal,UNKNOWN,SYBR,None,20.148859024047852,19.947765350341797,0.28438940644264221,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.96455129114446281,N,N,N,N,75.027702331542969,,,
62,F2,FALSE,CR2Apal_34C_59,A,UNKNOWN,SYBR,None,23.175519943237305,23.692672729492188,0.73136311769485474,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95735965105355036,N,N,Y,N,87.704254150390625,,,
63,F3,FALSE,CR2Apal_34C_59,Apal,UNKNOWN,SYBR,None,19.746671676635742,19.947765350341797,0.28438940644264221,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.98323632672481431,N,N,N,N,75.013587951660156,,,
64,F4,FALSE,CR2Apal_34C_59,A,UNKNOWN,SYBR,None,24.209823608398438,23.692672729492188,0.73136311769485474,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95597025269410363,N,N,Y,N,87.680854797363281,,,
65,F5,FALSE,CR2Apal_34C_60,Apal,UNKNOWN,SYBR,None,21.653087615966797,20.716375350952148,1.3247112035751343,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.79253220916789879,Y,N,Y,N,75.141937255859375,,,
66,F6,FALSE,CR2Apal_34C_60,A,UNKNOWN,SYBR,None,23.905399322509766,22.846305847167969,1.4977856874465942,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95583861146713767,N,N,Y,N,87.802322387695312,,,
67,F7,FALSE,CR2Apal_34C_60,Apal,UNKNOWN,SYBR,None,19.7796630859375,20.716375350952148,1.3247112035751343,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.98462263888816814,N,N,Y,N,75.15008544921875,,,
68,F8,FALSE,CR2Apal_34C_60,A,UNKNOWN,SYBR,None,21.787210464477539,22.846305847167969,1.4977856874465942,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.85313478027286971,N,N,Y,N,87.8165283203125,,,
69,F9,FALSE,CR2Apal_34C_61,Apal,UNKNOWN,SYBR,None,19.857662200927734,20.518901824951172,0.93513268232345581,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.97581754466701387,N,N,Y,N,75.309555053710938,,,
70,F10,FALSE,CR2Apal_34C_61,A,UNKNOWN,SYBR,None,24.863958358764648,24.559015274047852,0.43125465512275696,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96600819957969886,N,N,N,N,87.852325439453125,,,
71,F11,FALSE,CR2Apal_34C_61,Apal,UNKNOWN,SYBR,None,21.180139541625977,20.518901824951172,0.93513268232345581,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95190138718493866,N,N,Y,N,75.165641784667969,,,
72,F12,FALSE,CR2Apal_34C_61,A,UNKNOWN,SYBR,None,24.254072189331055,24.559015274047852,0.43125465512275696,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96541237524224555,N,N,N,N,87.841720581054688,,,
73,G1,FALSE,CR2Apal_34C_62,Apal,UNKNOWN,SYBR,None,20.934587478637695,20.940338134765625,0.00813265610486269,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9944447409922833,N,N,N,N,75.027702331542969,,,
74,G2,FALSE,CR2Apal_34C_62,A,UNKNOWN,SYBR,None,23.924871444702148,24.082443237304688,0.22284016013145447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.963961170650666,N,N,N,N,87.704254150390625,,,
75,G3,FALSE,CR2Apal_34C_62,Apal,UNKNOWN,SYBR,None,20.946088790893555,20.940338134765625,0.00813265610486269,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.97778486774050077,N,N,N,N,75.013587951660156,,,
76,G4,FALSE,CR2Apal_34C_62,A,UNKNOWN,SYBR,None,24.240015029907227,24.082443237304688,0.22284016013145447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.97055628521268011,N,N,N,N,87.680854797363281,,,
77,G5,FALSE,CR2Apal_34C_63,Apal,UNKNOWN,SYBR,None,19.956283569335938,19.846828460693359,0.1547929048538208,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.97858460694938509,N,N,N,N,75.0028076171875,,,
78,G6,FALSE,CR2Apal_34C_63,A,UNKNOWN,SYBR,None,27.268003463745117,26.966232299804688,0.42676886916160583,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95246916403132831,N,N,N,N,87.802322387695312,,,
79,G7,FALSE,CR2Apal_34C_63,Apal,UNKNOWN,SYBR,None,19.737373352050781,19.846828460693359,0.1547929048538208,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.98424695304750343,N,N,N,N,75.15008544921875,,,
80,G8,FALSE,CR2Apal_34C_63,A,UNKNOWN,SYBR,None,26.664461135864258,26.966232299804688,0.42676886916160583,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95440633112490614,N,N,N,N,87.8165283203125,,,
81,G9,FALSE,CR2Apal_34C_64,Apal,UNKNOWN,SYBR,None,20.006210327148438,20.138847351074219,0.18757842481136322,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.97600686650297952,N,N,N,N,75.170188903808594,,,
82,G10,FALSE,CR2Apal_34C_64,A,UNKNOWN,SYBR,None,25.607574462890625,25.73101806640625,0.17457561194896698,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96040755777957243,N,N,N,N,87.852325439453125,,,
83,G11,FALSE,CR2Apal_34C_64,Apal,UNKNOWN,SYBR,None,20.271486282348633,20.138847351074219,0.18757842481136322,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.98076236869026845,N,N,N,N,75.165641784667969,,,
84,G12,FALSE,CR2Apal_34C_64,A,UNKNOWN,SYBR,None,25.854461669921875,25.73101806640625,0.17457561194896698,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96318171462135138,N,N,N,N,87.98101806640625,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,65.9730224609375,83.3858642578125,76.420730590820312,72.380950927734375
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,88.818679809570312,83.525169372558594,80.0426025390625,74.609786987304688
87,H3,FALSE,CR2Apal_34C_65,Apal,UNKNOWN,SYBR,None,20.194360733032227,20.230504989624023,0.051115699112415314,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.98733616580754291,N,N,N,N,74.8743896484375,,,
88,H4,FALSE,CR2Apal_34C_65,A,UNKNOWN,SYBR,None,25.956300735473633,25.92143440246582,0.049308441579341888,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95318032521363372,N,N,N,N,87.680854797363281,,,
89,H5,FALSE,CR2Apal_34C_65,Apal,UNKNOWN,SYBR,None,20.26664924621582,20.230504989624023,0.051115699112415314,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.97912666007336457,N,N,N,N,75.141937255859375,,,
90,H6,FALSE,CR2Apal_34C_65,A,UNKNOWN,SYBR,None,25.886568069458008,25.92143440246582,0.049308441579341888,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95154986385518348,N,N,N,N,87.802322387695312,,,
