28,C4,FALSE,CR2Apal_30C_34,A,UNKNOWN,SYBR,None,24.639614105224609,24.680290222167969,0.057526063174009323,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93923491502897294,N,N,N,N,N,87.950759887695312,,,
29,C5,FALSE,CR2Apal_30C_36,Apal,UNKNOWN,SYBR,None,21.456539154052734,21.475479125976562,0.026783816516399384,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92594699740788078,N,N,N,N,N,75.136245727539062,,,
30,C6,FALSE,CR2Apal_30C_36,A,UNKNOWN,SYBR,None,25.570072174072266,25.714767456054688,0.20463137328624725,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94755569203173395,N,N,N,N,N,87.796302795410156,,,
31,C7,FALSE,CR2Apal_30C_36,Apal,UNKNOWN,SYBR,None,21.494417190551758,21.475479125976562,0.026783816516399384,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92512634723029674,N,N,N,N,N,75.144660949707031,,,
32,C8,FALSE,CR2Apal_30C_36,A,UNKNOWN,SYBR,None,25.859464645385742,25.714767456054688,0.20463137328624725,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.93598986359253011,N,N,N,N,N,87.810157775878906,,,
33,C9,FALSE,CR2Apal_30C_37,Apal,UNKNOWN,SYBR,None,22.721864700317383,22.768836975097656,0.066427476704120636,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93009047678149137,N,N,N,N,N,75.306076049804688,,,
34,C10,FALSE,CR2Apal_30C_37,A,UNKNOWN,SYBR,None,27.006343841552734,26.784797668457031,0.31331360340118408,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95411700092170892,N,N,N,N,N,87.986328125,,,
35,C11,FALSE,CR2Apal_30C_37,Apal,UNKNOWN,SYBR,None,22.815807342529297,22.768836975097656,0.066427476704120636,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94544351241583657,N,N,N,N,N,75.162628173828125,,,
36,C12,FALSE,CR2Apal_30C_37,A,UNKNOWN,SYBR,None,26.563251495361328,26.784797668457031,0.31331360340118408,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9744783530924146,N,N,N,N,N,87.975555419921875,,,
37,D1,FALSE,CR2Apal_30C_38,Apal,UNKNOWN,SYBR,None,20.871849060058594,20.982810974121094,0.15692384541034698,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96935993687820132,N,N,N,N,N,75.161880493164062,,,
38,D2,FALSE,CR2Apal_30C_38,A,UNKNOWN,SYBR,None,25.38286018371582,25.41850471496582,0.050408978015184402,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96019535282562118,N,N,N,N,N,87.695152282714844,,,
39,D3,FALSE,CR2Apal_30C_38,Apal,UNKNOWN,SYBR,None,21.093772888183594,20.982810974121094,0.15692384541034698,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92611383692611504,N,N,N,N,N,75.14739990234375,,,
40,D4,FALSE,CR2Apal_30C_38,A,UNKNOWN,SYBR,None,25.45414924621582,25.41850471496582,0.050408978015184402,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94942700230416077,N,N,N,N,N,87.811592102050781,,,
41,D5,FALSE,CR2Apal_30C_39,Apal,UNKNOWN,SYBR,None,25.579599380493164,25.707798004150391,0.18130023777484894,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.93382312551010782,N,N,N,N,N,75.136245727539062,,,
42,D6,FALSE,CR2Apal_30C_39,A,UNKNOWN,SYBR,None,31.247220993041992,31.500934600830078,0.35880658030509949,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.92817277993541847,N,N,N,N,N,87.796302795410156,,,
43,D7,FALSE,CR2Apal_30C_39,Apal,UNKNOWN,SYBR,None,25.835996627807617,25.707798004150391,0.18130023777484894,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.93573344547255377,N,N,N,N,N,75.144660949707031,,,
44,D8,FALSE,CR2Apal_30C_39,A,UNKNOWN,SYBR,None,31.754650115966797,31.500934600830078,0.35880658030509949,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.90685661872009582,N,N,N,N,N,87.810157775878906,,,
45,D9,FALSE,CR2Apal_30C_40,Apal,UNKNOWN,SYBR,None,20.852005004882812,20.907394409179688,0.07833244651556015,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9091499905451037,N,N,N,N,N,75.306076049804688,,,
46,D10,FALSE,CR2Apal_30C_40,A,UNKNOWN,SYBR,None,25.099235534667969,25.040653228759766,0.082847893238067627,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94202686650692424,N,N,N,N,N,87.986328125,,,
47,D11,FALSE,CR2Apal_30C_40,Apal,UNKNOWN,SYBR,None,20.962783813476562,20.907394409179688,0.07833244651556015,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93092415519078064,N,N,N,N,N,75.162628173828125,,,
48,D12,FALSE,CR2Apal_30C_40,A,UNKNOWN,SYBR,None,24.982070922851562,25.040653228759766,0.082847893238067627,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9816734530609037,N,N,N,N,N,87.836288452148438,,,
49,E1,FALSE,CR2Apal_30C_41,Apal,UNKNOWN,SYBR,None,21.073953628540039,21.166788101196289,0.13128776848316193,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95937185911220824,N,N,N,N,N,75.022628784179688,,,
50,E2,FALSE,CR2Apal_30C_41,A,UNKNOWN,SYBR,None,25.688314437866211,25.726886749267578,0.054550834000110626,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95882928208864215,N,N,N,N,N,87.695152282714844,,,
51,E3,FALSE,CR2Apal_30C_41,Apal,UNKNOWN,SYBR,None,21.259622573852539,21.166788101196289,0.13128776848316193,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92527336623987444,N,N,N,N,N,75.008232116699219,,,
52,E4,FALSE,CR2Apal_30C_41,A,UNKNOWN,SYBR,None,25.765460968017578,25.726886749267578,0.054550834000110626,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94056637473281512,N,N,N,N,N,87.67242431640625,,,
53,E5,FALSE,CR2Apal_30C_42,Apal,UNKNOWN,SYBR,None,20.297740936279297,20.3807373046875,0.11737459152936935,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.90683451877267796,N,N,N,N,N,75.136245727539062,,,
54,E6,FALSE,CR2Apal_30C_42,A,UNKNOWN,SYBR,None,23.418746948242188,23.413261413574219,0.0077590662986040115,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93611503458032086,N,N,N,N,N,87.657180786132812,,,
55,E7,FALSE,CR2Apal_30C_42,Apal,UNKNOWN,SYBR,None,20.463733673095703,20.3807373046875,0.11737459152936935,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92166181030531436,N,N,N,N,N,75.144660949707031,,,
56,E8,FALSE,CR2Apal_30C_42,A,UNKNOWN,SYBR,None,23.407773971557617,23.413261413574219,0.0077590662986040115,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9366308760949168,N,N,N,N,N,87.810157775878906,,,
57,E9,FALSE,CR2Apal_30C_43,Apal,UNKNOWN,SYBR,None,21.322732925415039,21.447023391723633,0.1757732629776001,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.91619311070532006,N,N,N,N,N,75.306076049804688,,,
58,E10,FALSE,CR2Apal_30C_43,A,UNKNOWN,SYBR,None,25.931303024291992,25.753021240234375,0.25212851166725159,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95191671090204266,N,N,N,N,N,87.986328125,,,
59,E11,FALSE,CR2Apal_30C_43,Apal,UNKNOWN,SYBR,None,21.571313858032227,21.447023391723633,0.1757732629776001,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.91162672451228866,N,N,N,N,N,75.162628173828125,,,
60,E12,FALSE,CR2Apal_30C_43,A,UNKNOWN,SYBR,None,25.574739456176758,25.753021240234375,0.25212851166725159,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9615410562152148,N,N,N,N,N,87.836288452148438,,,
61,F1,FALSE,CR2Apal_30C_44,Apal,UNKNOWN,SYBR,None,18.801662445068359,18.964468002319336,0.23024182021617889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.92272443001932003,N,N,N,N,N,75.022628784179688,,,
62,F2,FALSE,CR2Apal_30C_44,A,UNKNOWN,SYBR,None,23.47711181640625,23.535531997680664,0.082618609070777893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95292571366724443,N,N,N,N,N,87.695152282714844,,,
63,F3,FALSE,CR2Apal_30C_44,Apal,UNKNOWN,SYBR,None,19.127273559570312,18.964468002319336,0.23024182021617889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.89286037946499719,N,N,N,N,N,75.008232116699219,,,
64,F4,FALSE,CR2Apal_30C_44,A,UNKNOWN,SYBR,None,23.593952178955078,23.535531997680664,0.082618609070777893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.91229789679364948,N,N,N,N,N,87.67242431640625,,,
65,F5,FALSE,CR2Apal_30C_45,Apal,UNKNOWN,SYBR,None,20.767795562744141,20.852405548095703,0.11965523660182953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92435262390014095,N,N,N,N,N,75.136245727539062,,,
66,F6,FALSE,CR2Apal_30C_45,A,UNKNOWN,SYBR,None,24.056365966796875,24.277614593505859,0.31289145350456238,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95068936179734598,N,N,N,N,N,87.657180786132812,,,
67,F7,FALSE,CR2Apal_30C_45,Apal,UNKNOWN,SYBR,None,20.937013626098633,20.852405548095703,0.11965523660182953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93001457595475168,N,N,N,N,N,75.144660949707031,,,
68,F8,FALSE,CR2Apal_30C_45,A,UNKNOWN,SYBR,None,24.498861312866211,24.277614593505859,0.31289145350456238,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94844418211428183,N,N,N,N,N,87.810157775878906,,,
69,F9,FALSE,CR2Apal_30C_46,Apal,UNKNOWN,SYBR,None,20.279590606689453,20.406047821044922,0.1788361519575119,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92137282152536792,N,N,N,N,N,75.306076049804688,,,
70,F10,FALSE,CR2Apal_30C_46,A,UNKNOWN,SYBR,None,23.394096374511719,23.414789199829102,0.029264073818922043,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94512852673031955,N,N,N,N,N,87.84698486328125,,,
71,F11,FALSE,CR2Apal_30C_46,Apal,UNKNOWN,SYBR,None,20.532503128051758,20.406047821044922,0.1788361519575119,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93866725421205555,N,N,N,N,N,75.162628173828125,,,
72,F12,FALSE,CR2Apal_30C_46,A,UNKNOWN,SYBR,None,23.435482025146484,23.414789199829102,0.029264073818922043,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96008170581192098,N,N,N,N,N,87.836288452148438,,,
73,G1,FALSE,CR2Apal_30C_47,Apal,UNKNOWN,SYBR,None,19.855422973632812,19.964677810668945,0.15450967848300934,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9708697748246341,N,N,N,N,N,75.022628784179688,,,
74,G2,FALSE,CR2Apal_30C_47,A,UNKNOWN,SYBR,None,23.564979553222656,23.525960922241211,0.055180676281452179,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93770623775795214,N,N,N,N,N,87.695152282714844,,,
75,G3,FALSE,CR2Apal_30C_47,Apal,UNKNOWN,SYBR,None,20.073932647705078,19.964677810668945,0.15450967848300934,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92206868438359912,N,N,N,N,N,75.008232116699219,,,
76,G4,FALSE,CR2Apal_30C_47,A,UNKNOWN,SYBR,None,23.486942291259766,23.525960922241211,0.055180676281452179,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95395740375561644,N,N,N,N,N,87.533256530761719,,,
77,G5,FALSE,CR2Apal_30C_48,Apal,UNKNOWN,SYBR,None,20.200225830078125,20.253200531005859,0.074916191399097443,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91967526612940631,N,N,N,N,N,75.136245727539062,,,
78,G6,FALSE,CR2Apal_30C_48,A,UNKNOWN,SYBR,None,22.860803604125977,22.932498931884766,0.10139385610818863,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94550268109678215,N,N,N,N,N,87.657180786132812,,,
79,G7,FALSE,CR2Apal_30C_48,Apal,UNKNOWN,SYBR,None,20.306173324584961,20.253200531005859,0.074916191399097443,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92952149971116216,N,N,N,N,N,75.144660949707031,,,
80,G8,FALSE,CR2Apal_30C_48,A,UNKNOWN,SYBR,None,23.004196166992188,22.932498931884766,0.10139385610818863,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94792640980387599,N,N,N,N,N,87.810157775878906,,,
81,G9,FALSE,CR2Apal_30C_49,Apal,UNKNOWN,SYBR,None,21.370218276977539,21.114093780517578,0.3622133731842041,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.98046742103548334,N,N,N,N,N,75.724105834960938,,,
82,G10,FALSE,CR2Apal_30C_49,A,UNKNOWN,SYBR,None,23.419870376586914,23.503597259521484,0.11840769648551941,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9493234291402437,N,N,N,N,N,87.84698486328125,,,
83,G11,FALSE,CR2Apal_30C_49,Apal,UNKNOWN,SYBR,None,20.85797119140625,21.114093780517578,0.3622133731842041,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93089964298690964,N,N,N,N,N,75.301902770996094,,,
84,G12,FALSE,CR2Apal_30C_49,A,UNKNOWN,SYBR,None,23.587324142456055,23.503597259521484,0.11840769648551941,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96251282967704899,N,N,N,N,N,87.836288452148438,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,12,No Amp,,0,Y,N,N,Y,N,82.681846618652344,67.3634033203125,87.277374267578125,79.618156433105469
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,N,Y,59.982700347900391,,,
87,H3,FALSE,CR2Apal_30C_50,Apal,UNKNOWN,SYBR,None,21.638668060302734,21.806793212890625,0.23776622116565704,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94982853708877035,N,N,N,N,N,74.869064331054688,,,
88,H4,FALSE,CR2Apal_30C_50,A,UNKNOWN,SYBR,None,24.433124542236328,24.498310089111328,0.092186287045478821,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96626512045477542,N,N,N,N,N,87.533256530761719,,,
89,H5,FALSE,CR2Apal_30C_50,Apal,UNKNOWN,SYBR,None,21.974920272827148,21.806793212890625,0.23776622116565704,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93331301356124619,N,N,N,N,N,74.997123718261719,,,
