26,C2,FALSE,CR2Apal_30C_109,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,88.882698059082031,77.80670166015625,92.24755859375,64.207069396972656
27,C3,FALSE,CR2Apal_30C_109,D,UNKNOWN,FAM,NFQ-MGB,29.090192794799805,29.064226150512695,0.036722380667924881,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96191243310751717,N,N,N,Y,N,89.556259155273438,77.930061340332031,69.94580078125,66.864158630371094
28,C4,FALSE,CR2Apal_30C_109,Apal,UNKNOWN,SYBR,None,24.213903427124023,24.031747817993164,0.25760692358016968,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95478606975709679,N,N,N,N,N,75.268638610839844,,,
29,C5,FALSE,CR2Apal_30C_109,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,78.065277099609375,89.548507690429688,82.126419067382812,74.844375610351562
30,C6,FALSE,CR2Apal_30C_109,D,UNKNOWN,FAM,NFQ-MGB,29.038259506225586,29.064226150512695,0.036722380667924881,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96127584809063327,N,N,N,Y,N,77.925239562988281,66.582046508789062,75.12445068359375,70.083038330078125
31,C7,FALSE,CR2Apal_30C_110,Apal,UNKNOWN,SYBR,None,21.714454650878906,21.737022399902344,0.031914267688989639,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.97373941803578834,N,N,N,N,N,75.128730773925781,,,
32,C8,FALSE,CR2Apal_30C_110,A,UNKNOWN,FAM,NFQ-MGB,28.997396469116211,29.173923492431641,0.24964556097984314,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.94573321500861318,N,N,N,Y,N,78.490646362304688,92.498641967773438,81.432327270507812,75.128730773925781
33,C9,FALSE,CR2Apal_30C_110,D,UNKNOWN,FAM,NFQ-MGB,28.610042572021484,28.705333709716797,0.13476201891899109,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96022180053515216,N,N,N,Y,N,90.578201293945312,77.954376220703125,66.452674865722656,75.149085998535156
34,C10,FALSE,CR2Apal_30C_110,Apal,UNKNOWN,SYBR,None,21.759588241577148,21.737022399902344,0.031914267688989639,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.99421094144123845,N,N,N,N,N,75.429611206054688,,,
35,C11,FALSE,CR2Apal_30C_110,A,UNKNOWN,FAM,NFQ-MGB,29.350448608398438,29.173923492431641,0.24964556097984314,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95378045528446009,N,N,N,Y,N,77.383758544921875,82.009765625,87.476860046386719,
36,C12,FALSE,CR2Apal_30C_110,D,UNKNOWN,FAM,NFQ-MGB,28.800624847412109,28.705333709716797,0.13476201891899109,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95705186927268793,N,N,N,Y,N,71.075576782226562,77.243583679199219,67.711212158203125,93.224319458007812
37,D1,FALSE,CR2Apal_30C_111,Apal,UNKNOWN,SYBR,None,22.151803970336914,22.168289184570312,0.023312265053391457,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96741710110024381,N,N,N,N,N,75.142860412597656,,,
38,D2,FALSE,CR2Apal_30C_111,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.448848724365234,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,78.087112426757812,83.414802551269531,91.125930786132812,64.347274780273438
39,D3,FALSE,CR2Apal_30C_111,D,UNKNOWN,FAM,NFQ-MGB,28.458578109741211,28.273399353027344,0.26188364624977112,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95894828065269888,N,N,N,Y,N,82.272377014160156,91.517303466796875,77.369758605957031,67.144309997558594
40,D4,FALSE,CR2Apal_30C_111,Apal,UNKNOWN,SYBR,None,22.184772491455078,22.168289184570312,0.023312265053391457,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95702087564676619,N,N,N,N,N,75.128570556640625,,,
41,D5,FALSE,CR2Apal_30C_111,A,UNKNOWN,FAM,NFQ-MGB,33.448848724365234,33.448848724365234,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.92021847003568236,N,N,N,Y,N,77.645156860351562,92.349288940429688,,
42,D6,FALSE,CR2Apal_30C_111,D,UNKNOWN,FAM,NFQ-MGB,28.088218688964844,28.273399353027344,0.26188364624977112,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.97336024007999111,N,N,N,Y,N,78.205322265625,92.909454345703125,71.343391418457031,75.264495849609375
43,D7,FALSE,CR2Apal_30C_112,Apal,UNKNOWN,SYBR,None,24.611124038696289,24.668155670166016,0.080654904246330261,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95094104129008739,N,N,N,N,N,75.128730773925781,,,
44,D8,FALSE,CR2Apal_30C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,78.210487365722656,88.296241760253906,61.540977478027344,65.743377685546875
45,D9,FALSE,CR2Apal_30C_112,D,UNKNOWN,FAM,NFQ-MGB,30.794572830200195,30.709041595458984,0.12095943093299866,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.94447006021154511,N,N,N,Y,N,77.533584594726562,69.95928955078125,82.442848205566406,92.121109008789062
46,D10,FALSE,CR2Apal_30C_112,Apal,UNKNOWN,SYBR,None,24.725187301635742,24.668155670166016,0.080654904246330261,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96066103994389485,N,N,N,N,N,75.289352416992188,,,
47,D11,FALSE,CR2Apal_30C_112,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,70.09429931640625,77.804306030273438,66.169204711914062,80.748130798339844
48,D12,FALSE,CR2Apal_30C_112,D,UNKNOWN,FAM,NFQ-MGB,30.623510360717773,30.709041595458984,0.12095943093299866,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.97597967385444206,N,N,N,Y,N,66.30938720703125,89.719772338867188,76.542671203613281,68.972846984863281
49,E1,FALSE,CR2Apal_30C_113,Apal,UNKNOWN,SYBR,None,22.943164825439453,23.025840759277344,0.11692142486572266,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96467386167337787,N,N,N,N,N,75.142860412597656,,,
50,E2,FALSE,CR2Apal_30C_113,A,UNKNOWN,FAM,NFQ-MGB,30.631736755371094,30.700813293457031,0.09769032895565033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.93874306282842079,N,N,N,Y,N,87.480674743652344,81.872573852539062,93.789779663085938,78.227310180664062
51,E3,FALSE,CR2Apal_30C_113,D,UNKNOWN,FAM,NFQ-MGB,29.0604248046875,28.976615905761719,0.11852502822875977,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.9594065277892827,N,N,N,Y,N,69.385505676269531,75.128570556640625,78.070137023925781,87.45513916015625
52,E4,FALSE,CR2Apal_30C_113,Apal,UNKNOWN,SYBR,None,23.108516693115234,23.025840759277344,0.11692142486572266,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95305783172988467,N,N,N,N,N,75.128570556640625,,,
53,E5,FALSE,CR2Apal_30C_113,A,UNKNOWN,FAM,NFQ-MGB,30.769891738891602,30.700813293457031,0.09769032895565033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.94554040302679732,N,N,N,Y,N,77.785202026367188,92.629371643066406,82.826614379882812,
54,E6,FALSE,CR2Apal_30C_113,D,UNKNOWN,FAM,NFQ-MGB,28.892805099487305,28.976615905761719,0.11852502822875977,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96346125923515258,N,N,N,Y,N,91.088943481445312,84.367050170898438,74.844375610351562,87.167839050292969
55,E7,FALSE,CR2Apal_30C_114,Apal,UNKNOWN,SYBR,None,21.233913421630859,21.382347106933594,0.20991827547550201,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95839975761602503,N,N,N,N,N,75.128730773925781,,,
56,E8,FALSE,CR2Apal_30C_114,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,90.397445678710938,87.455764770507812,71.766815185546875,67.984657287597656
57,E9,FALSE,CR2Apal_30C_114,D,UNKNOWN,FAM,NFQ-MGB,27.998270034790039,28.140365600585938,0.20095212757587433,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95663826844072442,N,N,N,Y,N,92.822433471679688,77.11279296875,69.95928955078125,87.071578979492188
58,E10,FALSE,CR2Apal_30C_114,Apal,UNKNOWN,SYBR,None,21.530782699584961,21.382347106933594,0.20991827547550201,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.97720118665512101,N,N,N,N,N,75.289352416992188,,,
59,E11,FALSE,CR2Apal_30C_114,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,89.719772338867188,77.103401184082031,70.935394287109375,81.589218139648438
60,E12,FALSE,CR2Apal_30C_114,D,UNKNOWN,FAM,NFQ-MGB,28.282459259033203,28.140365600585938,0.20095212757587433,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96430976832778348,N,N,N,Y,N,67.571029663085938,92.663589477539062,70.655029296875,82.290130615234375
61,F1,FALSE,CR2Apal_30C_115,Apal,UNKNOWN,SYBR,None,20.241218566894531,20.406101226806641,0.23318064212799072,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.96126536964078857,N,N,N,N,N,75.142860412597656,,,
62,F2,FALSE,CR2Apal_30C_115,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,77.105697631835938,83.414802551269531,91.686744689941406,87.340469360351562
63,F3,FALSE,CR2Apal_30C_115,D,UNKNOWN,FAM,NFQ-MGB,28.681991577148438,28.650737762451172,0.044200915843248367,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96553713155121557,N,N,N,Y,N,91.517303466796875,76.669387817382812,69.525581359863281,66.443939208984375
64,F4,FALSE,CR2Apal_30C_115,Apal,UNKNOWN,SYBR,None,20.570985794067383,20.406101226806641,0.23318064212799072,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95640731678528379,N,N,N,N,N,74.988494873046875,,,
65,F5,FALSE,CR2Apal_30C_115,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,77.365081787109375,69.662918090820312,91.088943481445312,88.28814697265625
66,F6,FALSE,CR2Apal_30C_115,D,UNKNOWN,FAM,NFQ-MGB,28.619482040405273,28.650737762451172,0.044200915843248367,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96409029663479306,N,N,N,Y,N,91.929176330566406,75.264495849609375,78.345359802246094,
67,F7,FALSE,CR2Apal_30C_116,Apal,UNKNOWN,SYBR,None,22.05682373046875,22.142566680908203,0.12126018851995468,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96071231115772415,N,N,N,N,N,75.268814086914062,,,
68,F8,FALSE,CR2Apal_30C_116,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,77.229927062988281,81.852569580078125,72.046974182128906,87.876007080078125
69,F9,FALSE,CR2Apal_30C_116,D,UNKNOWN,FAM,NFQ-MGB,28.068080902099609,27.853767395019531,0.30308505892753601,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.9574588585484537,N,N,N,Y,N,75.71014404296875,92.401641845703125,81.741523742675781,70.099555969238281
70,F10,FALSE,CR2Apal_30C_116,Apal,UNKNOWN,SYBR,None,22.228311538696289,22.142566680908203,0.12126018851995468,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96151460341361006,N,N,N,N,N,75.289352416992188,,,
71,F11,FALSE,CR2Apal_30C_116,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,88.037590026855469,62.804843902587891,77.944488525390625,70.514846801757812
72,F12,FALSE,CR2Apal_30C_116,D,UNKNOWN,FAM,NFQ-MGB,27.639453887939453,27.853767395019531,0.30308505892753601,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.97211580862602309,N,N,N,Y,N,77.243583679199219,82.710678100585938,87.617042541503906,69.673759460449219
73,G1,FALSE,CR2Apal_30C_117,Apal,UNKNOWN,SYBR,None,21.574975967407227,21.77476692199707,0.28254708647727966,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95600974453761056,N,N,N,N,N,75.002655029296875,,,
74,G2,FALSE,CR2Apal_30C_117,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,88.181686401367188,78.227310180664062,66.310104370117188,93.789779663085938
75,G3,FALSE,CR2Apal_30C_117,D,UNKNOWN,FAM,NFQ-MGB,27.625482559204102,27.773479461669922,0.20930057764053345,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.97926262990805202,N,N,N,Y,N,89.136032104492188,77.509834289550781,81.712074279785156,
76,G4,FALSE,CR2Apal_30C_117,Apal,UNKNOWN,SYBR,None,21.974557876586914,21.77476692199707,0.28254708647727966,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.96787774340513266,N,N,N,N,N,74.988494873046875,,,
77,G5,FALSE,CR2Apal_30C_117,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,77.225044250488281,90.808860778808594,64.201377868652344,
78,G6,FALSE,CR2Apal_30C_117,D,UNKNOWN,FAM,NFQ-MGB,27.921478271484375,27.773479461669922,0.20930057764053345,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.97182824934660494,N,N,N,Y,N,77.085006713867188,72.183624267578125,67.8424072265625,88.28814697265625
79,G7,FALSE,CR2Apal_30C_105,Apal,UNKNOWN,SYBR,None,19.828678131103516,19.887561798095703,0.083275429904460907,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.98594365533155737,N,N,N,N,N,75.128730773925781,,,
80,G8,FALSE,CR2Apal_30C_105,A,UNKNOWN,FAM,NFQ-MGB,27.893505096435547,27.949901580810547,0.079756669700145721,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.9608693837733997,N,N,N,Y,N,90.677597045898438,77.650169372558594,81.0120849609375,67.284255981445312
81,G9,FALSE,CR2Apal_30C_105,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,77.11279296875,90.718460083007812,67.434524536132812,80.338874816894531
