Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,G5,FALSE,CR2Apal_36C_106,Apal,UNKNOWN,SYBR,None,26.504390716552734,26.433160781860352,0.10073433816432953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94933380531779088,4.1804256439208984,3.7944357395172119,74.83966064453125,,,,N,N,N,N
78,G6,FALSE,CR2Apal_36C_106,A,UNKNOWN,SYBR,None,29.782482147216797,29.708103179931641,0.10518774390220642,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.95635671405838962,4.980405330657959,4.5155272483825684,87.736991882324219,,,,N,N,N,N
79,G7,FALSE,CR2Apal_36C_106,Apal,UNKNOWN,SYBR,None,26.361930847167969,26.433160781860352,0.10073433816432953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.93948688491398402,4.1807365417480469,3.7706055641174316,74.987220764160156,,,,N,N,N,N
80,G8,FALSE,CR2Apal_36C_106,A,UNKNOWN,SYBR,None,29.633724212646484,29.708103179931641,0.10518774390220642,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.95756208389506647,4.876737117767334,4.4911899566650391,87.751304626464844,,,,N,N,N,N
81,G9,FALSE,CR2Apal_36C_107,Apal,UNKNOWN,SYBR,None,19.517034530639648,20.634302139282227,1.5800549983978271,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95326716321771665,4.3565034866333008,3.6949210166931152,75.007881164550781,,,,N,N,Y,N
82,G10,FALSE,CR2Apal_36C_107,A,UNKNOWN,SYBR,None,25.471372604370117,25.542184829711914,0.10014361143112183,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95499635970001806,5.6392703056335449,5.150270938873291,87.787498474121094,,,,N,N,N,N
83,G11,FALSE,CR2Apal_36C_107,Apal,UNKNOWN,SYBR,None,21.751569747924805,20.634302139282227,1.5800549983978271,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94412431573654476,4.1837306022644043,3.6930363178253174,74.999717712402344,,,,N,N,Y,N
84,G12,FALSE,CR2Apal_36C_107,A,UNKNOWN,SYBR,None,25.612997055053711,25.542184829711914,0.10014361143112183,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95552116775403872,5.7281894683837891,5.2448134422302246,87.769248962402344,,,,N,N,N,N
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,13,No Amp,,0,0.42770320177078247,-0.067729204893112183,64.895927429199219,78.226943969726562,61.528095245361328,90.295028686523438,Y,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.35727688670158386,-0.0062617817893624306,82.577064514160156,78.226943969726562,70.789642333984375,67.421806335449219,Y,Y,N,Y
87,H3,FALSE,CR2Apal_36C_119,Apal,UNKNOWN,SYBR,None,21.782812118530273,21.793628692626953,0.015295596793293953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94378368069299889,4.2004108428955078,3.743598461151123,74.84442138671875,,,,N,N,N,N
88,H4,FALSE,CR2Apal_36C_119,A,UNKNOWN,SYBR,None,24.839359283447266,25.017436981201172,0.25183990597724915,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96056527987312412,5.5923800468444824,5.1723051071166992,87.604705810546875,,,,N,N,N,N
89,H5,FALSE,CR2Apal_36C_119,Apal,UNKNOWN,SYBR,None,21.804443359375,21.793628692626953,0.015295596793293953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94019941469741375,4.2283992767333984,3.7792725563049316,74.83966064453125,,,,N,N,N,N
90,H6,FALSE,CR2Apal_36C_119,A,UNKNOWN,SYBR,None,25.195514678955078,25.017436981201172,0.25183990597724915,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96010823571874393,5.7727174758911133,5.2937746047973633,87.5968017578125,,,,N,N,N,N
91,H7,FALSE,CR2Apal_36C_120,Apal,UNKNOWN,SYBR,None,28.365945816040039,28.417266845703125,0.072580248117446899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.94721885737726919,3.9402074813842773,3.5653622150421143,74.846954345703125,,,,N,N,N,N
92,H8,FALSE,CR2Apal_36C_120,A,UNKNOWN,SYBR,None,32.113998413085938,33.607040405273438,2.1114776134490967,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.95298078854486756,3.9181604385375977,3.5169289112091064,88.031829833984375,,,,N,N,Y,N
93,H9,FALSE,CR2Apal_36C_120,Apal,UNKNOWN,SYBR,None,28.468589782714844,28.417266845703125,0.072580248117446899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.94460281376437449,3.8694527149200439,3.6192007064819336,74.867446899414062,,,,N,N,N,N
94,H10,FALSE,CR2Apal_36C_120,A,UNKNOWN,SYBR,None,35.100078582763672,33.607040405273438,2.1114776134490967,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Inconclusive,,0.90884972675213271,2.1171550750732422,1.7344173192977905,87.927932739257812,,,,N,N,Y,N
95,H11,FALSE,+,Apal,UNKNOWN,SYBR,None,29.433210372924805,29.237157821655273,0.2772601842880249,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.93951553998731574,3.9335272312164307,3.4009857177734375,74.859397888183594,,,,N,N,N,N
96,H12,FALSE,+,A,UNKNOWN,SYBR,None,14.841181755065918,14.959004402160645,0.16662637889385223,,,,,,,,FALSE,0.10000000000000001,TRUE,3,11,Amp,,0.97835815122011893,6.4092006683349609,5.6493868827819824,87.628921508789062,,,,N,N,N,N
