28,C4,FALSE,CR2Apal_34C_172,A,UNKNOWN,SYBR,None,23.697399139404297,23.969491958618164,0.3847973644733429,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.87410873208295914,N,N,N,N,N,87.934219360351562,,,
29,C5,FALSE,CR2Apal_34C_NEC1,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,88.482452392578125,78.748573303222656,64.425872802734375,81.251571655273438
30,C6,FALSE,CR2Apal_34C_NEC1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,88.76055908203125,83.059295654296875,79.165740966796875,69.014701843261719
31,C7,FALSE,CR2Apal_34C_NEC1,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,89.052093505859375,74.306228637695312,82.931167602539062,92.66900634765625
32,C8,FALSE,CR2Apal_34C_NEC1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,75.001785278320312,88.356536865234375,82.374725341796875,85.435188293457031
33,C9,FALSE,CR2Apal_34C_2_R,Apal,UNKNOWN,SYBR,None,22.568605422973633,22.534400939941406,0.048373792320489883,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95402406197324419,N,N,N,N,N,75.300582885742188,,,
34,C10,FALSE,CR2Apal_34C_2_R,A,UNKNOWN,SYBR,None,24.124160766601562,24.405094146728516,0.39730113744735718,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96642513515100226,N,N,N,N,N,87.9752197265625,,,
35,C11,FALSE,CR2Apal_34C_2_R,Apal,UNKNOWN,SYBR,None,22.500194549560547,22.534400939941406,0.048373792320489883,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94462263123448886,N,N,N,N,N,75.158065795898438,,,
36,C12,FALSE,CR2Apal_34C_2_R,A,UNKNOWN,SYBR,None,24.686029434204102,24.405094146728516,0.39730113744735718,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.97084430423628676,N,N,N,N,N,87.965782165527344,,,
37,D1,FALSE,CR2Apal_34C_8_R,Apal,UNKNOWN,SYBR,None,21.773077011108398,21.633804321289062,0.1969599723815918,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95211214494663865,N,N,N,N,N,75.158500671386719,,,
38,D2,FALSE,CR2Apal_34C_8_R,A,UNKNOWN,SYBR,None,23.62049674987793,23.629936218261719,0.013350772671401501,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.97095660948752605,N,N,N,N,N,87.8265380859375,,,
39,D3,FALSE,CR2Apal_34C_8_R,Apal,UNKNOWN,SYBR,None,21.494533538818359,21.633804321289062,0.1969599723815918,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94402129726461126,N,N,N,N,N,75.139251708984375,,,
40,D4,FALSE,CR2Apal_34C_8_R,A,UNKNOWN,SYBR,None,23.639377593994141,23.629936218261719,0.013350772671401501,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95661300267994898,N,N,N,N,N,87.795135498046875,,,
41,D5,FALSE,CR2Apal_34C_10_R,Apal,UNKNOWN,SYBR,None,21.071422576904297,20.896053314208984,0.24801093339920044,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94746007716308189,N,N,N,N,N,75.133132934570312,,,
42,D6,FALSE,CR2Apal_34C_10_R,A,UNKNOWN,SYBR,None,23.965568542480469,23.971378326416016,0.0082162749022245407,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9488173168974201,N,N,N,N,N,87.648117065429688,,,
43,D7,FALSE,CR2Apal_34C_10_R,Apal,UNKNOWN,SYBR,None,20.720682144165039,20.896053314208984,0.24801093339920044,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94163457479685786,N,N,N,N,N,75.140899658203125,,,
44,D8,FALSE,CR2Apal_34C_10_R,A,UNKNOWN,SYBR,None,23.977188110351562,23.971378326416016,0.0082162749022245407,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9363516780479002,N,N,N,N,N,87.800086975097656,,,
45,D9,FALSE,CR2Apal_34C_11_R,Apal,UNKNOWN,SYBR,None,20.711851119995117,20.604022979736328,0.15249201655387878,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93406768272888552,N,N,N,N,N,75.439865112304688,,,
46,D10,FALSE,CR2Apal_34C_11_R,A,UNKNOWN,SYBR,None,22.829509735107422,22.646873474121094,0.25828531384468079,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9581921688778029,N,N,N,N,N,87.9752197265625,,,
47,D11,FALSE,CR2Apal_34C_11_R,Apal,UNKNOWN,SYBR,None,20.496194839477539,20.604022979736328,0.15249201655387878,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94323200565375753,N,N,N,N,N,75.158065795898438,,,
48,D12,FALSE,CR2Apal_34C_11_R,A,UNKNOWN,SYBR,None,22.464239120483398,22.646873474121094,0.25828531384468079,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96185523485040081,N,N,N,N,N,87.826568603515625,,,
49,E1,FALSE,CR2Apal_34C_13_R,Apal,UNKNOWN,SYBR,None,20.682428359985352,20.878171920776367,0.27682319283485413,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94659140159267263,N,N,N,N,N,75.158500671386719,,,
50,E2,FALSE,CR2Apal_34C_13_R,A,UNKNOWN,SYBR,None,24.172901153564453,24.209197998046875,0.051332838833332062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96532487676850831,N,N,N,N,N,87.8265380859375,,,
51,E3,FALSE,CR2Apal_34C_13_R,Apal,UNKNOWN,SYBR,None,21.073915481567383,20.878171920776367,0.27682319283485413,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94671635474890981,N,N,N,N,N,75.139251708984375,,,
52,E4,FALSE,CR2Apal_34C_13_R,A,UNKNOWN,SYBR,None,24.24549674987793,24.209197998046875,0.051332838833332062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95716981614913998,N,N,N,N,N,87.65606689453125,,,
53,E5,FALSE,CR2Apal_34C_14_R,Apal,UNKNOWN,SYBR,None,21.482948303222656,21.353170394897461,0.1835336834192276,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95478175435210366,N,N,N,N,N,75.133132934570312,,,
54,E6,FALSE,CR2Apal_34C_14_R,A,UNKNOWN,SYBR,None,25.501304626464844,25.395442962646484,0.14971235394477844,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96358488574447176,N,N,N,N,N,87.648117065429688,,,
55,E7,FALSE,CR2Apal_34C_14_R,Apal,UNKNOWN,SYBR,None,21.223392486572266,21.353170394897461,0.1835336834192276,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94393996376640543,N,N,N,N,N,75.140899658203125,,,
56,E8,FALSE,CR2Apal_34C_14_R,A,UNKNOWN,SYBR,None,25.289579391479492,25.395442962646484,0.14971235394477844,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95966779466441232,N,N,N,N,N,87.800086975097656,,,
57,E9,FALSE,CR2Apal_34C_16_R,Apal,UNKNOWN,SYBR,None,20.69618034362793,20.696804046630859,0.00088339793728664517,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9482601659834623,N,N,N,N,N,75.300582885742188,,,
58,E10,FALSE,CR2Apal_34C_16_R,A,UNKNOWN,SYBR,None,25.001350402832031,24.486427307128906,0.72820985317230225,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9651826537892938,N,N,Y,N,N,87.8359375,,,
59,E11,FALSE,CR2Apal_34C_16_R,Apal,UNKNOWN,SYBR,None,20.697429656982422,20.696804046630859,0.00088339793728664517,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9252920985907086,N,N,N,N,N,75.158065795898438,,,
60,E12,FALSE,CR2Apal_34C_16_R,A,UNKNOWN,SYBR,None,23.971506118774414,24.486427307128906,0.72820985317230225,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96782191188445588,N,N,Y,N,N,87.826568603515625,,,
61,F1,FALSE,CR2Apal_34C_17_R,Apal,UNKNOWN,SYBR,None,20.282033920288086,20.460826873779297,0.25285276770591736,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95348087104373558,N,N,N,N,N,75.158500671386719,,,
62,F2,FALSE,CR2Apal_34C_17_R,A,UNKNOWN,SYBR,None,24.429082870483398,24.529102325439453,0.14145021140575409,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96822934501274416,N,N,N,N,N,87.8265380859375,,,
63,F3,FALSE,CR2Apal_34C_17_R,Apal,UNKNOWN,SYBR,None,20.639621734619141,20.460826873779297,0.25285276770591736,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94027789215027524,N,N,N,N,N,75.000175476074219,,,
64,F4,FALSE,CR2Apal_34C_17_R,A,UNKNOWN,SYBR,None,24.629123687744141,24.529102325439453,0.14145021140575409,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96269474287455015,N,N,N,N,N,87.65606689453125,,,
65,F5,FALSE,CR2Apal_34C_20_R,Apal,UNKNOWN,SYBR,None,22.48345947265625,22.523006439208984,0.055929206311702728,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95407338932562724,N,N,N,N,N,75.133132934570312,,,
66,F6,FALSE,CR2Apal_34C_20_R,A,UNKNOWN,SYBR,None,24.868032455444336,24.892997741699219,0.035306245088577271,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96557288312194911,N,N,N,N,N,87.78717041015625,,,
67,F7,FALSE,CR2Apal_34C_20_R,Apal,UNKNOWN,SYBR,None,22.562555313110352,22.523006439208984,0.055929206311702728,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96258594817382759,N,N,N,N,N,75.280014038085938,,,
68,F8,FALSE,CR2Apal_34C_20_R,A,UNKNOWN,SYBR,None,24.917963027954102,24.892997741699219,0.035306245088577271,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96486618206560126,N,N,N,N,N,87.800086975097656,,,
69,F9,FALSE,CR2Apal_34C_24_R,Apal,UNKNOWN,SYBR,None,21.530681610107422,21.599365234375,0.097133316099643707,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95753179532897414,N,N,N,N,N,75.300582885742188,,,
70,F10,FALSE,CR2Apal_34C_24_R,A,UNKNOWN,SYBR,None,25.267904281616211,25.574630737304688,0.43377536535263062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9591489046737528,N,N,N,N,N,87.8359375,,,
71,F11,FALSE,CR2Apal_34C_24_R,Apal,UNKNOWN,SYBR,None,21.668048858642578,21.599365234375,0.097133316099643707,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.96212124028144874,N,N,N,N,N,75.158065795898438,,,
72,F12,FALSE,CR2Apal_34C_24_R,A,UNKNOWN,SYBR,None,25.881355285644531,25.574630737304688,0.43377536535263062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96612183711219557,N,N,N,N,N,87.965782165527344,,,
73,G1,FALSE,CR2Apal_34C_27_R,Apal,UNKNOWN,SYBR,None,23.20240592956543,23.489099502563477,0.40544593334197998,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96892491074872844,N,N,N,N,N,75.019287109375,,,
74,G2,FALSE,CR2Apal_34C_27_R,A,UNKNOWN,SYBR,None,24.249101638793945,24.492031097412109,0.34355548024177551,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.97031868259244369,N,N,N,N,N,87.8265380859375,,,
75,G3,FALSE,CR2Apal_34C_27_R,Apal,UNKNOWN,SYBR,None,23.775793075561523,23.489099502563477,0.40544593334197998,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95562998263676635,N,N,N,N,N,75.000175476074219,,,
76,G4,FALSE,CR2Apal_34C_27_R,A,UNKNOWN,SYBR,None,24.734962463378906,24.492031097412109,0.34355548024177551,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96278826496714043,N,N,N,N,N,87.65606689453125,,,
77,G5,FALSE,CR2Apal_34C_29_R,Apal,UNKNOWN,SYBR,None,20.908187866210938,20.689908981323242,0.30869296193122864,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94807468380053772,N,N,N,N,N,75.133132934570312,,,
78,G6,FALSE,CR2Apal_34C_29_R,A,UNKNOWN,SYBR,None,23.192707061767578,23.864997863769531,0.95076274871826172,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95629629177369213,N,N,Y,N,N,87.648117065429688,,,
79,G7,FALSE,CR2Apal_34C_29_R,Apal,UNKNOWN,SYBR,None,20.471630096435547,20.689908981323242,0.30869296193122864,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93687068344959645,N,N,N,N,N,75.140899658203125,,,
80,G8,FALSE,CR2Apal_34C_29_R,A,UNKNOWN,SYBR,None,24.537288665771484,23.864997863769531,0.95076274871826172,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95716709501129105,N,N,Y,N,N,87.800086975097656,,,
81,G9,FALSE,CR2Apal_34C_30_R,Apal,UNKNOWN,SYBR,None,21.492710113525391,21.384517669677734,0.15300856530666351,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94923038950913441,N,N,N,N,N,75.300582885742188,,,
82,G10,FALSE,CR2Apal_34C_30_R,A,UNKNOWN,SYBR,None,24.683755874633789,26.478176116943359,2.5376920700073242,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9543570063957576,N,N,Y,N,N,87.8359375,,,
83,G11,FALSE,CR2Apal_34C_30_R,Apal,UNKNOWN,SYBR,None,21.276323318481445,21.384517669677734,0.15300856530666351,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94337556638363851,N,N,N,N,N,75.297279357910156,,,
84,G12,FALSE,CR2Apal_34C_30_R,A,UNKNOWN,SYBR,None,28.272594451904297,26.478176116943359,2.5376920700073242,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96067939876266761,N,N,Y,N,N,87.965782165527344,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,4,No Amp,,0,Y,N,N,Y,Y,88.661788940429688,81.979751586914062,76.132965087890625,71.399856567382812
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,N,N,59.984699249267578,,,
87,H3,FALSE,CR2Apal_34C_31_R,Apal,UNKNOWN,SYBR,None,20.13172721862793,19.797588348388672,0.47254371643066406,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95745700380054821,N,N,N,N,N,75.000175476074219,,,
88,H4,FALSE,CR2Apal_34C_31_R,A,UNKNOWN,SYBR,None,24.23997688293457,24.353025436401367,0.15987479686737061,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95204413737303983,N,N,N,N,N,87.516983032226562,,,
