28,C4,FALSE,CR2Apal_34C_150,A,UNKNOWN,SYBR,None,23.634897232055664,23.639688491821289,0.0067758643999695778,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.91203835957925616,N,N,N,N,N,87.934333801269531,,,
29,C5,FALSE,CR2Apal_34C_151,Apal,UNKNOWN,SYBR,None,18.544174194335938,18.490833282470703,0.075434088706970215,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.91071028111205921,N,N,N,N,N,75.134170532226562,,,
30,C6,FALSE,CR2Apal_34C_151,A,UNKNOWN,SYBR,None,24.038646697998047,23.802791595458984,0.3335508406162262,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.87024540230062886,N,N,N,N,N,87.788833618164062,,,
31,C7,FALSE,CR2Apal_34C_151,Apal,UNKNOWN,SYBR,None,18.437494277954102,18.490833282470703,0.075434088706970215,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.94357158336490321,N,N,N,N,N,75.138862609863281,,,
32,C8,FALSE,CR2Apal_34C_151,A,UNKNOWN,SYBR,None,23.566934585571289,23.802791595458984,0.3335508406162262,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.77974899026264743,Y,N,N,N,N,87.79718017578125,,,
33,C9,FALSE,CR2Apal_34C_152,Apal,UNKNOWN,SYBR,None,18.280603408813477,18.241714477539062,0.054995905607938766,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.93515064890568944,N,N,N,N,N,75.439010620117188,,,
34,C10,FALSE,CR2Apal_34C_152,A,UNKNOWN,SYBR,None,22.867271423339844,22.592386245727539,0.38874635100364685,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.91799224506506427,N,N,N,N,N,87.9737548828125,,,
35,C11,FALSE,CR2Apal_34C_152,Apal,UNKNOWN,SYBR,None,18.202827453613281,18.241714477539062,0.054995905607938766,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.91135198145155361,N,N,N,N,N,75.29595947265625,,,
36,C12,FALSE,CR2Apal_34C_152,A,UNKNOWN,SYBR,None,22.317501068115234,22.592386245727539,0.38874635100364685,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.91237195231435397,N,N,N,N,N,87.824501037597656,,,
37,D1,FALSE,CR2Apal_34C_153,Apal,UNKNOWN,SYBR,None,20.225227355957031,20.545646667480469,0.45313999056816101,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96295817291380037,N,N,N,N,N,75.15765380859375,,,
38,D2,FALSE,CR2Apal_34C_153,A,UNKNOWN,SYBR,None,25.668754577636719,25.723775863647461,0.077811852097511292,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96945153437871245,N,N,N,N,N,87.825393676757812,,,
39,D3,FALSE,CR2Apal_34C_153,Apal,UNKNOWN,SYBR,None,20.866064071655273,20.545646667480469,0.45313999056816101,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92099827443134363,N,N,N,N,N,75.278305053710938,,,
40,D4,FALSE,CR2Apal_34C_153,A,UNKNOWN,SYBR,None,25.778797149658203,25.723775863647461,0.077811852097511292,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95150106053056216,N,N,N,N,N,87.795257568359375,,,
41,D5,FALSE,CR2Apal_34C_154,Apal,UNKNOWN,SYBR,None,19.566854476928711,19.5072021484375,0.084359779953956604,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.9357267523401136,N,N,N,N,N,75.134170532226562,,,
42,D6,FALSE,CR2Apal_34C_154,A,UNKNOWN,SYBR,None,23.242160797119141,23.466463088989258,0.3172113299369812,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.90956038271122608,N,N,N,N,N,87.788833618164062,,,
43,D7,FALSE,CR2Apal_34C_154,Apal,UNKNOWN,SYBR,None,19.447551727294922,19.5072021484375,0.084359779953956604,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.91868331819654303,N,N,N,N,N,75.138862609863281,,,
44,D8,FALSE,CR2Apal_34C_154,A,UNKNOWN,SYBR,None,23.690765380859375,23.466463088989258,0.3172113299369812,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.92059031908211586,N,N,N,N,N,87.79718017578125,,,
45,D9,FALSE,CR2Apal_34C_155,Apal,UNKNOWN,SYBR,None,18.489631652832031,18.543949127197266,0.076816506683826447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.92847462403535153,N,N,N,N,N,75.29974365234375,,,
46,D10,FALSE,CR2Apal_34C_155,A,UNKNOWN,SYBR,None,23.306133270263672,22.797061920166016,0.71993559598922729,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.56188629045302962,Y,N,Y,N,N,87.834480285644531,,,
47,D11,FALSE,CR2Apal_34C_155,Apal,UNKNOWN,SYBR,None,18.5982666015625,18.543949127197266,0.076816506683826447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93776894737152416,N,N,N,N,N,75.156753540039062,,,
48,D12,FALSE,CR2Apal_34C_155,A,UNKNOWN,SYBR,None,22.287990570068359,22.797061920166016,0.71993559598922729,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92662005042141238,N,N,Y,N,N,87.824501037597656,,,
49,E1,FALSE,CR2Apal_34C_156,Apal,UNKNOWN,SYBR,None,18.447290420532227,18.528146743774414,0.11434810608625412,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.89454381411431361,N,N,N,N,N,75.018447875976562,,,
50,E2,FALSE,CR2Apal_34C_156,A,UNKNOWN,SYBR,None,23.937250137329102,23.811407089233398,0.17796894907951355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94398950003515614,N,N,N,N,N,87.686187744140625,,,
51,E3,FALSE,CR2Apal_34C_156,Apal,UNKNOWN,SYBR,None,18.609003067016602,18.528146743774414,0.11434810608625412,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.92677061649479575,N,N,N,N,N,75.000144958496094,,,
52,E4,FALSE,CR2Apal_34C_156,A,UNKNOWN,SYBR,None,23.685564041137695,23.811407089233398,0.17796894907951355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.87247416488504015,N,N,N,N,N,87.656181335449219,,,
53,E5,FALSE,CR2Apal_34C_157,Apal,UNKNOWN,SYBR,None,18.37785530090332,18.186973571777344,0.26994886994361877,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.93674230372749279,N,N,N,N,N,75.134170532226562,,,
54,E6,FALSE,CR2Apal_34C_157,A,UNKNOWN,SYBR,None,24.935413360595703,25.100059509277344,0.23284347355365753,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.92016490000211837,N,N,N,N,N,87.649765014648438,,,
55,E7,FALSE,CR2Apal_34C_157,Apal,UNKNOWN,SYBR,None,17.996089935302734,18.186973571777344,0.26994886994361877,,,,,,,,FALSE,0.10000000000000001,TRUE,3,13,Amp,,0.91619955516034257,N,N,N,N,N,75.138862609863281,,,
56,E8,FALSE,CR2Apal_34C_157,A,UNKNOWN,SYBR,None,25.264703750610352,25.100059509277344,0.23284347355365753,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.90662907844282037,N,N,N,N,N,87.79718017578125,,,
57,E9,FALSE,CR2Apal_34C_158,Apal,UNKNOWN,SYBR,None,21.074245452880859,21.015676498413086,0.082829013466835022,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.96669012311515712,N,N,N,N,N,75.29974365234375,,,
58,E10,FALSE,CR2Apal_34C_158,A,UNKNOWN,SYBR,None,28.759178161621094,28.444408416748047,0.44515165686607361,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96052844470270926,N,N,N,N,N,87.9737548828125,,,
59,E11,FALSE,CR2Apal_34C_158,Apal,UNKNOWN,SYBR,None,20.957107543945312,21.015676498413086,0.082829013466835022,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92865695518338121,N,N,N,N,N,75.156753540039062,,,
60,E12,FALSE,CR2Apal_34C_158,A,UNKNOWN,SYBR,None,28.129638671875,28.444408416748047,0.44515165686607361,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95785647106034666,N,N,N,N,N,87.824501037597656,,,
61,F1,FALSE,CR2Apal_34C_159,Apal,UNKNOWN,SYBR,None,21.248626708984375,21.311319351196289,0.088660784065723419,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95581814182014257,N,N,N,N,N,75.018447875976562,,,
62,F2,FALSE,CR2Apal_34C_159,A,UNKNOWN,SYBR,None,25.24970817565918,25.439802169799805,0.26883351802825928,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96936991944727058,N,N,N,N,N,87.686187744140625,,,
63,F3,FALSE,CR2Apal_34C_159,Apal,UNKNOWN,SYBR,None,21.374011993408203,21.311319351196289,0.088660784065723419,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95671231894995235,N,N,N,N,N,75.000144958496094,,,
64,F4,FALSE,CR2Apal_34C_159,A,UNKNOWN,SYBR,None,25.62989616394043,25.439802169799805,0.26883351802825928,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96341558979353192,N,N,N,N,N,87.656181335449219,,,
65,F5,FALSE,CR2Apal_34C_160,Apal,UNKNOWN,SYBR,None,21.90925407409668,21.737764358520508,0.24252307415008545,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.97163166649240762,N,N,N,N,N,75.134170532226562,,,
66,F6,FALSE,CR2Apal_34C_160,A,UNKNOWN,SYBR,None,24.660274505615234,25.205156326293945,0.77057927846908569,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96039944123705501,N,N,Y,N,N,87.649765014648438,,,
67,F7,FALSE,CR2Apal_34C_160,Apal,UNKNOWN,SYBR,None,21.566274642944336,21.737764358520508,0.24252307415008545,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95219300694738207,N,N,N,N,N,75.138862609863281,,,
68,F8,FALSE,CR2Apal_34C_160,A,UNKNOWN,SYBR,None,25.750038146972656,25.205156326293945,0.77057927846908569,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96059684568667003,N,N,Y,N,N,87.79718017578125,,,
69,F9,FALSE,CR2Apal_34C_161,Apal,UNKNOWN,SYBR,None,20.866189956665039,20.838617324829102,0.038993589580059052,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94674313074539851,N,N,N,N,N,75.29974365234375,,,
70,F10,FALSE,CR2Apal_34C_161,A,UNKNOWN,SYBR,None,24.622591018676758,24.534290313720703,0.12487605214118958,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95985260526495886,N,N,N,N,N,87.834480285644531,,,
71,F11,FALSE,CR2Apal_34C_161,Apal,UNKNOWN,SYBR,None,20.811044692993164,20.838617324829102,0.038993589580059052,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95077499494885753,N,N,N,N,N,75.156753540039062,,,
72,F12,FALSE,CR2Apal_34C_161,A,UNKNOWN,SYBR,None,24.445989608764648,24.534290313720703,0.12487605214118958,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.97015575211864558,N,N,N,N,N,87.824501037597656,,,
73,G1,FALSE,CR2Apal_34C_162,Apal,UNKNOWN,SYBR,None,20.641017913818359,20.700050354003906,0.083485826849937439,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.96700895959625255,N,N,N,N,N,75.018447875976562,,,
74,G2,FALSE,CR2Apal_34C_162,A,UNKNOWN,SYBR,None,24.945426940917969,24.911794662475586,0.047563225030899048,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96145129613759928,N,N,N,N,N,87.686187744140625,,,
75,G3,FALSE,CR2Apal_34C_162,Apal,UNKNOWN,SYBR,None,20.759084701538086,20.700050354003906,0.083485826849937439,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95029881436142805,N,N,N,N,N,75.000144958496094,,,
76,G4,FALSE,CR2Apal_34C_162,A,UNKNOWN,SYBR,None,24.878162384033203,24.911794662475586,0.047563225030899048,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96811520013058505,N,N,N,N,N,87.517105102539062,,,
77,G5,FALSE,CR2Apal_34C_163,Apal,UNKNOWN,SYBR,None,19.575342178344727,19.396932601928711,0.25230923295021057,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.90967302849486176,N,N,N,N,N,75.134170532226562,,,
78,G6,FALSE,CR2Apal_34C_163,A,UNKNOWN,SYBR,None,24.352048873901367,24.444906234741211,0.13132013380527496,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93107302446445828,N,N,N,N,N,87.788833618164062,,,
79,G7,FALSE,CR2Apal_34C_163,Apal,UNKNOWN,SYBR,None,19.218523025512695,19.396932601928711,0.25230923295021057,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.94959563516747647,N,N,N,N,N,75.138862609863281,,,
80,G8,FALSE,CR2Apal_34C_163,A,UNKNOWN,SYBR,None,24.537763595581055,24.444906234741211,0.13132013380527496,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.92525580868561508,N,N,N,N,N,87.79718017578125,,,
81,G9,FALSE,CR2Apal_34C_164,Apal,UNKNOWN,SYBR,None,19.894851684570312,19.915306091308594,0.028926899656653404,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93728619128951296,N,N,N,N,N,75.16046142578125,,,
82,G10,FALSE,CR2Apal_34C_164,A,UNKNOWN,SYBR,None,24.126272201538086,24.498201370239258,0.52598726749420166,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95293880662160446,N,N,Y,N,N,87.834480285644531,,,
83,G11,FALSE,CR2Apal_34C_164,Apal,UNKNOWN,SYBR,None,19.935760498046875,19.915306091308594,0.028926899656653404,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92704317208871434,N,N,N,N,N,75.156753540039062,,,
84,G12,FALSE,CR2Apal_34C_164,A,UNKNOWN,SYBR,None,24.87013053894043,24.498201370239258,0.52598726749420166,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96167088830712288,N,N,Y,N,N,87.963706970214844,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,33,No Amp,,0,Y,N,N,Y,Y,85.18048095703125,81.421920776367188,88.939041137695312,75.575271606445312
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,84.345245361328125,90.74871826171875,88.243011474609375,93.950454711914062
87,H3,FALSE,CR2Apal_34C_165,Apal,UNKNOWN,SYBR,None,19.421907424926758,19.505197525024414,0.11778999119997025,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.94827500564855161,N,N,N,N,N,75.000144958496094,,,
88,H4,FALSE,CR2Apal_34C_165,A,UNKNOWN,SYBR,None,24.507011413574219,24.24260139465332,0.37393224239349365,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94842132916114574,N,N,N,N,N,87.517105102539062,,,
