29,C5,FALSE,CR2Apal_30C_11,Apal,UNKNOWN,SYBR,None,21.202348709106445,21.238182067871094,0.050674673169851303,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92778389534873429,N,N,N,N,75.247451782226562,,,
30,C6,FALSE,CR2Apal_30C_11,A,UNKNOWN,SYBR,None,23.177553176879883,23.141574859619141,0.050881024450063705,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95084462427237537,N,N,N,N,87.854423522949219,,,
31,C7,FALSE,CR2Apal_30C_11,Apal,UNKNOWN,SYBR,None,21.274013519287109,21.238182067871094,0.050674673169851303,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92218515633515963,N,N,N,N,75.121131896972656,,,
32,C8,FALSE,CR2Apal_30C_11,A,UNKNOWN,SYBR,None,23.105596542358398,23.141574859619141,0.050881024450063705,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93986704306861646,N,N,N,N,87.879440307617188,,,
33,C9,FALSE,CR2Apal_30C_12,Apal,UNKNOWN,SYBR,None,20.338722229003906,20.268844604492188,0.098823234438896179,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91547965362725325,N,N,N,N,75.415634155273438,,,
34,C10,FALSE,CR2Apal_30C_12,A,UNKNOWN,SYBR,None,23.802669525146484,23.803691864013672,0.0014444567495957017,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94164178340975435,N,N,N,N,88.044296264648438,,,
35,C11,FALSE,CR2Apal_30C_12,Apal,UNKNOWN,SYBR,None,20.198965072631836,20.268844604492188,0.098823234438896179,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91629205799460933,N,N,N,N,75.269561767578125,,,
36,C12,FALSE,CR2Apal_30C_12,A,UNKNOWN,SYBR,None,23.804712295532227,23.803691864013672,0.0014444567495957017,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95381497918445679,N,N,N,N,87.890411376953125,,,
37,D1,FALSE,CR2Apal_30C_14,Apal,UNKNOWN,SYBR,None,24.692495346069336,24.87884521484375,0.26353716850280762,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.98212584975655437,N,N,N,N,75.132888793945312,,,
38,D2,FALSE,CR2Apal_30C_14,A,UNKNOWN,SYBR,None,25.785425186157227,26.107051849365234,0.45485013723373413,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9741089179531186,N,N,N,N,87.756134033203125,,,
39,D3,FALSE,CR2Apal_30C_14,Apal,UNKNOWN,SYBR,None,25.065193176269531,24.87884521484375,0.26353716850280762,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94004718732236503,N,N,N,N,75.118301391601562,,,
40,D4,FALSE,CR2Apal_30C_14,A,UNKNOWN,SYBR,None,26.428680419921875,26.107051849365234,0.45485013723373413,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95510829775311179,N,N,N,N,87.73272705078125,,,
41,D5,FALSE,CR2Apal_30C_15,Apal,UNKNOWN,SYBR,None,22.066659927368164,22.202655792236328,0.19232584536075592,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93290271222275734,N,N,N,N,75.107376098632812,,,
42,D6,FALSE,CR2Apal_30C_15,A,UNKNOWN,SYBR,None,22.497104644775391,22.59648323059082,0.14054253697395325,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94237960902818962,N,N,N,N,87.714347839355469,,,
43,D7,FALSE,CR2Apal_30C_15,Apal,UNKNOWN,SYBR,None,22.338649749755859,22.202655792236328,0.19232584536075592,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92921092739156108,N,N,N,N,75.121131896972656,,,
44,D8,FALSE,CR2Apal_30C_15,A,UNKNOWN,SYBR,None,22.69586181640625,22.59648323059082,0.14054253697395325,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92639333200751051,N,N,N,N,87.739242553710938,,,
45,D9,FALSE,CR2Apal_30C_16,Apal,UNKNOWN,SYBR,None,21.355428695678711,21.471958160400391,0.16479890048503876,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92309682317600905,N,N,N,N,75.275314331054688,,,
46,D10,FALSE,CR2Apal_30C_16,A,UNKNOWN,SYBR,None,24.079116821289062,23.974910736083984,0.14736831188201904,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94841609644539471,N,N,N,N,87.903976440429688,,,
47,D11,FALSE,CR2Apal_30C_16,Apal,UNKNOWN,SYBR,None,21.588489532470703,21.471958160400391,0.16479890048503876,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93975984179312388,N,N,N,N,75.550018310546875,,,
48,D12,FALSE,CR2Apal_30C_16,A,UNKNOWN,SYBR,None,23.870706558227539,23.974910736083984,0.14736831188201904,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.98747629439819851,N,N,N,N,87.890411376953125,,,
49,E1,FALSE,CR2Apal_30C_17,Apal,UNKNOWN,SYBR,None,19.615854263305664,19.653873443603516,0.053767241537570953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94863822889942129,N,N,N,N,75.132888793945312,,,
50,E2,FALSE,CR2Apal_30C_17,A,UNKNOWN,SYBR,None,23.827238082885742,23.839183807373047,0.016892457380890846,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94944958978126259,N,N,N,N,87.756134033203125,,,
51,E3,FALSE,CR2Apal_30C_17,Apal,UNKNOWN,SYBR,None,19.691892623901367,19.653873443603516,0.053767241537570953,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.90987952390359361,N,N,N,N,75.118301391601562,,,
52,E4,FALSE,CR2Apal_30C_17,A,UNKNOWN,SYBR,None,23.851127624511719,23.839183807373047,0.016892457380890846,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93247856880632274,N,N,N,N,87.73272705078125,,,
53,E5,FALSE,CR2Apal_30C_18,Apal,UNKNOWN,SYBR,None,21.226428985595703,21.203117370605469,0.032967600971460342,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92466318670518211,N,N,N,N,75.107376098632812,,,
54,E6,FALSE,CR2Apal_30C_18,A,UNKNOWN,SYBR,None,24.697666168212891,24.662704467773438,0.049444660544395447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94754418977490873,N,N,N,N,87.714347839355469,,,
55,E7,FALSE,CR2Apal_30C_18,Apal,UNKNOWN,SYBR,None,21.179805755615234,21.203117370605469,0.032967600971460342,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92981426062252037,N,N,N,N,75.121131896972656,,,
56,E8,FALSE,CR2Apal_30C_18,A,UNKNOWN,SYBR,None,24.627740859985352,24.662704467773438,0.049444660544395447,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94516303677602864,N,N,N,N,87.739242553710938,,,
57,E9,FALSE,CR2Apal_30C_19,Apal,UNKNOWN,SYBR,None,20.684457778930664,20.746299743652344,0.087457746267318726,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92156900746053949,N,N,N,N,75.275314331054688,,,
58,E10,FALSE,CR2Apal_30C_19,A,UNKNOWN,SYBR,None,23.073984146118164,23.176502227783203,0.14498245716094971,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94762510774201492,N,N,N,N,87.903976440429688,,,
59,E11,FALSE,CR2Apal_30C_19,Apal,UNKNOWN,SYBR,None,20.808141708374023,20.746299743652344,0.087457746267318726,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.90712676788230717,N,N,N,N,75.129325866699219,,,
60,E12,FALSE,CR2Apal_30C_19,A,UNKNOWN,SYBR,None,23.279020309448242,23.176502227783203,0.14498245716094971,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9529747156831837,N,N,N,N,87.890411376953125,,,
61,F1,FALSE,CR2Apal_30C_20,Apal,UNKNOWN,SYBR,None,23.666383743286133,23.793994903564453,0.1804707795381546,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.97264463242687504,N,N,N,N,75.132888793945312,,,
62,F2,FALSE,CR2Apal_30C_20,A,UNKNOWN,SYBR,None,23.285604476928711,23.365997314453125,0.11369398981332779,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.97799317507054218,N,N,N,N,87.756134033203125,,,
63,F3,FALSE,CR2Apal_30C_20,Apal,UNKNOWN,SYBR,None,23.921607971191406,23.793994903564453,0.1804707795381546,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95039382257750737,N,N,N,N,74.978141784667969,,,
64,F4,FALSE,CR2Apal_30C_20,A,UNKNOWN,SYBR,None,23.446392059326172,23.365997314453125,0.11369398981332779,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95826814782052261,N,N,N,N,87.592559814453125,,,
65,F5,FALSE,CR2Apal_30C_21,Apal,UNKNOWN,SYBR,None,20.086629867553711,20.045513153076172,0.058147814124822617,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.90059016250829516,N,N,N,N,75.107376098632812,,,
66,F6,FALSE,CR2Apal_30C_21,A,UNKNOWN,SYBR,None,22.440994262695312,22.490276336669922,0.069694027304649353,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94547420622138345,N,N,N,N,87.714347839355469,,,
67,F7,FALSE,CR2Apal_30C_21,Apal,UNKNOWN,SYBR,None,20.004396438598633,20.045513153076172,0.058147814124822617,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91593153154468121,N,N,N,N,75.121131896972656,,,
68,F8,FALSE,CR2Apal_30C_21,A,UNKNOWN,SYBR,None,22.539556503295898,22.490276336669922,0.069694027304649353,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94153450234117564,N,N,N,N,87.739242553710938,,,
69,F9,FALSE,CR2Apal_30C_22,Apal,UNKNOWN,SYBR,None,21.449275970458984,21.497879028320312,0.068733751773834229,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93031549836565719,N,N,N,N,75.275314331054688,,,
70,F10,FALSE,CR2Apal_30C_22,A,UNKNOWN,SYBR,None,23.842016220092773,23.792266845703125,0.070357590913772583,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95670390969486141,N,N,N,N,87.903976440429688,,,
71,F11,FALSE,CR2Apal_30C_22,Apal,UNKNOWN,SYBR,None,21.546480178833008,21.497879028320312,0.068733751773834229,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94638228557165172,N,N,N,N,75.269561767578125,,,
72,F12,FALSE,CR2Apal_30C_22,A,UNKNOWN,SYBR,None,23.742515563964844,23.792266845703125,0.070357590913772583,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96488688521683763,N,N,N,N,87.890411376953125,,,
73,G1,FALSE,CR2Apal_30C_23,Apal,UNKNOWN,SYBR,None,22.967533111572266,23.203220367431641,0.3333134651184082,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.97785985991290525,N,N,N,N,74.992630004882812,,,
74,G2,FALSE,CR2Apal_30C_23,A,UNKNOWN,SYBR,None,23.389471054077148,23.440635681152344,0.072356358170509338,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96581937224933445,N,N,N,N,87.756134033203125,,,
75,G3,FALSE,CR2Apal_30C_23,Apal,UNKNOWN,SYBR,None,23.438909530639648,23.203220367431641,0.3333134651184082,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95758213789755942,N,N,N,N,74.978141784667969,,,
76,G4,FALSE,CR2Apal_30C_23,A,UNKNOWN,SYBR,None,23.491798400878906,23.440635681152344,0.072356358170509338,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.98241549684637741,N,N,N,N,87.592559814453125,,,
77,G5,FALSE,CR2Apal_30C_24,Apal,UNKNOWN,SYBR,None,22.703788757324219,22.772617340087891,0.097336962819099426,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94726724075229607,N,N,N,N,75.107376098632812,,,
78,G6,FALSE,CR2Apal_30C_24,A,UNKNOWN,SYBR,None,24.270393371582031,24.397006988525391,0.17905870079994202,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95656253601370633,N,N,N,N,87.714347839355469,,,
79,G7,FALSE,CR2Apal_30C_24,Apal,UNKNOWN,SYBR,None,22.84144401550293,22.772617340087891,0.097336962819099426,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95036554090106362,N,N,N,N,75.121131896972656,,,
80,G8,FALSE,CR2Apal_30C_24,A,UNKNOWN,SYBR,None,24.52362060546875,24.397006988525391,0.17905870079994202,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96705357951626936,N,N,N,N,87.739242553710938,,,
81,G9,FALSE,CR2Apal_30C_25,Apal,UNKNOWN,SYBR,None,20.568403244018555,20.809986114501953,0.34164977073669434,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93792893364445296,N,N,N,N,75.134994506835938,,,
82,G10,FALSE,CR2Apal_30C_25,A,UNKNOWN,SYBR,None,23.051942825317383,23.128692626953125,0.10853926092386246,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94249820650369032,N,N,N,N,87.903976440429688,,,
83,G11,FALSE,CR2Apal_30C_25,Apal,UNKNOWN,SYBR,None,21.051568984985352,20.809986114501953,0.34164977073669434,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93709512600110367,N,N,N,N,75.269561767578125,,,
84,G12,FALSE,CR2Apal_30C_25,A,UNKNOWN,SYBR,None,23.205440521240234,23.128692626953125,0.10853926092386246,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96093132827260119,N,N,N,N,87.890411376953125,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,80.743217468261719,84.670448303222656,71.065399169921875,90.000259399414062
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,Y,80.322441101074219,83.969161987304688,74.151077270507812,62.509647369384766
87,H3,FALSE,CR2Apal_30C_26,Apal,UNKNOWN,SYBR,None,20.950874328613281,20.905092239379883,0.064745649695396423,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95021321948808746,N,N,N,N,74.978141784667969,,,
88,H4,FALSE,CR2Apal_30C_26,A,UNKNOWN,SYBR,None,23.354181289672852,23.340789794921875,0.018939781934022903,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96936176389579709,N,N,N,N,87.592559814453125,,,
89,H5,FALSE,CR2Apal_30C_26,Apal,UNKNOWN,SYBR,None,20.859310150146484,20.905092239379883,0.064745649695396423,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92714616431739405,N,N,N,N,75.107376098632812,,,
90,H6,FALSE,CR2Apal_30C_26,A,UNKNOWN,SYBR,None,23.327396392822266,23.340789794921875,0.018939781934022903,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96750772362830118,N,N,N,N,87.714347839355469,,,
