28,C4,FALSE,CR2Apal_34C_72,A,UNKNOWN,SYBR,None,24.854982376098633,24.880016326904297,0.035402003675699234,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9342492461933426,N,N,N,N,N,87.805999755859375,,,
29,C5,FALSE,CR2Apal_34C_73,Apal,UNKNOWN,SYBR,None,19.212072372436523,19.300533294677734,0.12510263919830322,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.94661758892813042,N,N,N,N,N,75.137298583984375,,,
30,C6,FALSE,CR2Apal_34C_73,A,UNKNOWN,SYBR,None,26.125289916992188,25.439720153808594,0.96954071521759033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94657804289134995,N,N,Y,N,N,87.793731689453125,,,
31,C7,FALSE,CR2Apal_34C_73,Apal,UNKNOWN,SYBR,None,19.388994216918945,19.300533294677734,0.12510263919830322,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93895282721224171,N,N,N,N,N,75.14379883,,,
32,C8,FALSE,CR2Apal_34C_73,A,UNKNOWN,SYBR,None,24.754152297973633,25.439720153808594,0.96954071521759033,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.91468171416612942,N,N,Y,N,N,87.805496215820312,,,
33,C9,FALSE,CR2Apal_34C_74,Apal,UNKNOWN,SYBR,None,18.837501525878906,18.817348480224609,0.028502060100436211,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.94531673177230502,N,N,N,N,N,75.444366455078125,,,
34,C10,FALSE,CR2Apal_34C_74,A,UNKNOWN,SYBR,None,23.314355850219727,23.227645874023438,0.12262777239084244,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9359766483189591,N,N,N,N,N,87.98376465,,,
35,C11,FALSE,CR2Apal_34C_74,Apal,UNKNOWN,SYBR,None,18.79719352722168,18.817348480224609,0.028502060100436211,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.92748731321077238,N,N,N,N,N,75.16094970703125,,,
36,C12,FALSE,CR2Apal_34C_74,A,UNKNOWN,SYBR,None,23.140933990478516,23.227645874023438,0.12262777239084244,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9536970248438249,N,N,N,N,N,87.971786499023438,,,
37,D1,FALSE,CR2Apal_34C_75,Apal,UNKNOWN,SYBR,None,18.659181594848633,18.656772613525391,0.003406814,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.9076785914915747,N,N,N,N,N,75.164527893066406,,,
38,D2,FALSE,CR2Apal_34C_75,A,UNKNOWN,SYBR,None,25.147808074951172,24.978275299072266,0.23975419998168945,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9553583594338414,N,N,N,N,N,87.837921142578125,,,
39,D3,FALSE,CR2Apal_34C_75,Apal,UNKNOWN,SYBR,None,18.654363632202148,18.656772613525391,0.003406814,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95146947786140723,N,N,N,N,N,75.145217895507812,,,
40,D4,FALSE,CR2Apal_34C_75,A,UNKNOWN,SYBR,None,24.808744430541992,24.978275299072266,0.23975419998168945,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.86953160734640267,N,N,N,N,N,87.805999755859375,,,
41,D5,FALSE,CR2Apal_34C_76,Apal,UNKNOWN,SYBR,None,20.266578674316406,20.029306411743164,0.33555364608764648,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94500983348521883,N,N,N,N,N,75.137298583984375,,,
42,D6,FALSE,CR2Apal_34C_76,A,UNKNOWN,SYBR,None,25.780830383300781,25.605188369750977,0.24839532375335693,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94717717825621117,N,N,N,N,N,87.793731689453125,,,
43,D7,FALSE,CR2Apal_34C_76,Apal,UNKNOWN,SYBR,None,19.792034149169922,20.029306411743164,0.33555364608764648,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93414969333361764,N,N,N,N,N,75.14379883,,,
44,D8,FALSE,CR2Apal_34C_76,A,UNKNOWN,SYBR,None,25.429546356201172,25.605188369750977,0.24839532375335693,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.93739248540598685,N,N,N,N,N,87.805496215820312,,,
45,D9,FALSE,CR2Apal_34C_77,Apal,UNKNOWN,SYBR,None,21.348688125610352,21.461912155151367,0.16012296080589294,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94845263146058978,N,N,N,N,N,75.305038452148438,,,
46,D10,FALSE,CR2Apal_34C_77,A,UNKNOWN,SYBR,None,26.621450424194336,26.72833251953125,0.15115545690059662,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96000029337791193,N,N,N,N,N,87.98376465,,,
47,D11,FALSE,CR2Apal_34C_77,Apal,UNKNOWN,SYBR,None,21.575136184692383,21.461912155151367,0.16012296080589294,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93650904954745895,N,N,N,N,N,75.16094970703125,,,
48,D12,FALSE,CR2Apal_34C_77,A,UNKNOWN,SYBR,None,26.835216522216797,26.72833251953125,0.15115545690059662,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.98554059120083559,N,N,N,N,N,87.971786499023438,,,
49,E1,FALSE,CR2Apal_34C_78,Apal,UNKNOWN,SYBR,None,19.521524429321289,19.509243011474609,0.017369896173477173,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93917758133230911,N,N,N,N,N,75.164527893066406,,,
50,E2,FALSE,CR2Apal_34C_78,A,UNKNOWN,SYBR,None,23.772283554077148,23.873079299926758,0.14254671335220337,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94718807236652747,N,N,N,N,N,87.837921142578125,,,
51,E3,FALSE,CR2Apal_34C_78,Apal,UNKNOWN,SYBR,None,19.496959686279297,19.509243011474609,0.017369896173477173,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91823989601558886,N,N,N,N,N,75.145217895507812,,,
52,E4,FALSE,CR2Apal_34C_78,A,UNKNOWN,SYBR,None,23.973875045776367,23.873079299926758,0.14254671335220337,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94584049760213407,N,N,N,N,N,87.66687012,,,
53,E5,FALSE,CR2Apal_34C_79,Apal,UNKNOWN,SYBR,None,21.454921722412109,21.53544807434082,0.11388146132230759,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95842691588421991,N,N,N,N,N,75.137298583984375,,,
54,E6,FALSE,CR2Apal_34C_79,A,UNKNOWN,SYBR,None,21.841493606567383,23.396133422851562,2.1985914707183838,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.91847906293708614,N,N,Y,N,N,87.654655456542969,,,
55,E7,FALSE,CR2Apal_34C_79,Apal,UNKNOWN,SYBR,None,21.615974426269531,21.53544807434082,0.11388146132230759,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95081934827282277,N,N,N,N,N,75.282943725585938,,,
56,E8,FALSE,CR2Apal_34C_79,A,UNKNOWN,SYBR,None,24.950771331787109,23.396133422851562,2.1985914707183838,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95850318371799526,N,N,Y,N,N,87.805496215820312,,,
57,E9,FALSE,CR2Apal_34C_80,Apal,UNKNOWN,SYBR,None,18.694833755493164,18.626346588134766,0.096855483949184418,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95059785254495854,N,N,N,N,N,75.305038452148438,,,
58,E10,FALSE,CR2Apal_34C_80,A,UNKNOWN,SYBR,None,22.204498291015625,22.491594314575195,0.40601509809494019,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.88623941164100328,N,N,N,N,N,87.98376465,,,
59,E11,FALSE,CR2Apal_34C_80,Apal,UNKNOWN,SYBR,None,18.557859420776367,18.626346588134766,0.096855483949184418,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.91615526667459335,N,N,N,N,N,75.16094970703125,,,
60,E12,FALSE,CR2Apal_34C_80,A,UNKNOWN,SYBR,None,22.778690338134766,22.491594314575195,0.40601509809494019,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94854199334032685,N,N,N,N,N,87.832534790039062,,,
61,F1,FALSE,CR2Apal_34C_81,Apal,UNKNOWN,SYBR,None,19.699014663696289,19.762977600097656,0.090457253158092499,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.94508118409155195,N,N,N,N,N,75.025253295898438,,,
62,F2,FALSE,CR2Apal_34C_81,A,UNKNOWN,SYBR,None,26.306571960449219,26.217029571533203,0.1266334056854248,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96593393542619077,N,N,N,N,N,87.837921142578125,,,
63,F3,FALSE,CR2Apal_34C_81,Apal,UNKNOWN,SYBR,None,19.826940536499023,19.762977600097656,0.090457253158092499,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94054034890607952,N,N,N,N,N,75.006088256835938,,,
64,F4,FALSE,CR2Apal_34C_81,A,UNKNOWN,SYBR,None,26.127485275268555,26.217029571533203,0.1266334056854248,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95088247171980611,N,N,N,N,N,87.66687012,,,
65,F5,FALSE,CR2Apal_34C_82,Apal,UNKNOWN,SYBR,None,19.806926727294922,19.579010009765625,0.32232427597045898,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93469740220133923,N,N,N,N,N,75.137298583984375,,,
66,F6,FALSE,CR2Apal_34C_82,A,UNKNOWN,SYBR,None,26.528495788574219,26.552562713623047,0.034035772085189819,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95969755924885825,N,N,N,N,N,87.793731689453125,,,
67,F7,FALSE,CR2Apal_34C_82,Apal,UNKNOWN,SYBR,None,19.351091384887695,19.579010009765625,0.32232427597045898,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.90858374072867487,N,N,N,N,N,75.14379883,,,
68,F8,FALSE,CR2Apal_34C_82,A,UNKNOWN,SYBR,None,26.576629638671875,26.552562713623047,0.034035772085189819,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95570931102324852,N,N,N,N,N,87.805496215820312,,,
69,F9,FALSE,CR2Apal_34C_83,Apal,UNKNOWN,SYBR,None,20.51435661315918,20.531269073486328,0.023916482925415039,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95159803593838355,N,N,N,N,N,75.305038452148438,,,
70,F10,FALSE,CR2Apal_34C_83,A,UNKNOWN,SYBR,None,24.983146667480469,25.404895782470703,0.59644198417663574,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95991620375043396,N,N,Y,N,N,87.98376465,,,
71,F11,FALSE,CR2Apal_34C_83,Apal,UNKNOWN,SYBR,None,20.548179626464844,20.531269073486328,0.023916482925415039,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96633365005683469,N,N,N,N,N,75.300201416015625,,,
72,F12,FALSE,CR2Apal_34C_83,A,UNKNOWN,SYBR,None,25.826642990112305,25.404895782470703,0.59644198417663574,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96342488665758075,N,N,Y,N,N,87.971786499023438,,,
73,G1,FALSE,CR2Apal_34C_85,Apal,UNKNOWN,SYBR,None,19.567201614379883,19.666862487792969,0.14094175398349762,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94310127872517813,N,N,N,N,N,75.025253295898438,,,
74,G2,FALSE,CR2Apal_34C_85,A,UNKNOWN,SYBR,None,23.454965591430664,23.651725769042969,0.27825957536697388,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94524776023998724,N,N,N,N,N,87.698654174804688,,,
75,G3,FALSE,CR2Apal_34C_85,Apal,UNKNOWN,SYBR,None,19.766523361206055,19.666862487792969,0.14094175398349762,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93486686331795388,N,N,N,N,N,75.006088256835938,,,
76,G4,FALSE,CR2Apal_34C_85,A,UNKNOWN,SYBR,None,23.848484039306641,23.651725769042969,0.27825957536697388,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96597509652053992,N,N,N,N,N,87.66687012,,,
77,G5,FALSE,CR2Apal_34C_86,Apal,UNKNOWN,SYBR,None,21.139532089233398,21.130420684814453,0.012885471805930138,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94281169249966434,N,N,N,N,N,74.998222351074219,,,
78,G6,FALSE,CR2Apal_34C_86,A,UNKNOWN,SYBR,None,25.199596405029297,25.000038146972656,0.2822166383266449,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9632986787950778,N,N,N,N,N,87.793731689453125,,,
79,G7,FALSE,CR2Apal_34C_86,Apal,UNKNOWN,SYBR,None,21.121309280395508,21.130420684814453,0.012885471805930138,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94849198147026481,N,N,N,N,N,75.14379883,,,
80,G8,FALSE,CR2Apal_34C_86,A,UNKNOWN,SYBR,None,24.800481796264648,25.000038146972656,0.2822166383266449,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95928971149590525,N,N,N,N,N,87.805496215820312,,,
81,G9,FALSE,CR2Apal_34C_88,Apal,UNKNOWN,SYBR,None,20.344079971313477,20.416437149047852,0.10232850164175034,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92896670140180382,N,N,N,N,N,75.16571044921875,,,
82,G10,FALSE,CR2Apal_34C_88,A,UNKNOWN,SYBR,None,23.225917816162109,23.738941192626953,0.72552329301834106,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9621269945673524,N,N,Y,N,N,87.844436645507812,,,
83,G11,FALSE,CR2Apal_34C_88,Apal,UNKNOWN,SYBR,None,20.488794326782227,20.416437149047852,0.10232850164175034,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9379855294951468,N,N,N,N,N,75.300201416015625,,,
84,G12,FALSE,CR2Apal_34C_88,A,UNKNOWN,SYBR,None,24.251962661743164,23.738941192626953,0.72552329301834106,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.958693323,N,N,Y,N,N,87.971786499023438,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,63.187465667724609,74.468185424804688,82.545738220214844,78.785499572753906
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,84.634757995605469,79.621109008789062,73.354042053222656,90.344757080078125
87,H3,FALSE,CR2Apal_34C_89,Apal,UNKNOWN,SYBR,None,20.154811859130859,20.239124298095703,0.11923579126596451,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93482566727295269,N,N,N,N,N,74.866958618164062,,,
88,H4,FALSE,CR2Apal_34C_89,A,UNKNOWN,SYBR,None,23.056951522827148,23.227085113525391,0.24060657620429993,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94737543876576469,N,N,N,N,N,87.527740478515625,,,
89,H5,FALSE,CR2Apal_34C_89,Apal,UNKNOWN,SYBR,None,20.323436737060547,20.239124298095703,0.11923579126596451,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91628773030925514,N,N,N,N,N,74.998222351074219,,,
