28,C4,FALSE,CR2Apal_30C_104,A,UNKNOWN,SYBR,None,24.032020568847656,23.906711578369141,0.17721232771873474,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9427892538883037,N,N,N,N,N,87.861396789550781,,,
29,C5,FALSE,CR2Apal_30C_105,Apal,UNKNOWN,SYBR,None,20.287954330444336,20.24072265625,0.066794328391551971,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92399073438280699,N,N,N,N,N,75.242828369140625,,,
30,C6,FALSE,CR2Apal_30C_105,A,UNKNOWN,SYBR,None,24.953125,24.942436218261719,0.01511487178504467,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93948471405206158,N,N,N,N,N,87.84814453125,,,
31,C7,FALSE,CR2Apal_30C_105,Apal,UNKNOWN,SYBR,None,20.193492889404297,20.24072265625,0.066794328391551971,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91568052614074114,N,N,N,N,N,75.255439758300781,,,
32,C8,FALSE,CR2Apal_30C_105,A,UNKNOWN,SYBR,None,24.93174934387207,24.942436218261719,0.01511487178504467,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93471948090664547,N,N,N,N,N,87.870330810546875,,,
33,C9,FALSE,CR2Apal_30C_106,Apal,UNKNOWN,SYBR,None,20.577417373657227,20.604766845703125,0.03867664560675621,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92363685767108206,N,N,N,N,N,75.414291381835938,,,
34,C10,FALSE,CR2Apal_30C_106,A,UNKNOWN,SYBR,None,23.472066879272461,23.64610481262207,0.24612680077552795,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95165710994006514,N,N,N,N,N,88.0438232421875,,,
35,C11,FALSE,CR2Apal_30C_106,Apal,UNKNOWN,SYBR,None,20.632114410400391,20.604766845703125,0.03867664560675621,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92439641523735627,N,N,N,N,N,75.266868591308594,,,
36,C12,FALSE,CR2Apal_30C_106,A,UNKNOWN,SYBR,None,23.82014274597168,23.64610481262207,0.24612680077552795,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.9591707655296875,N,N,N,N,N,87.887649536132812,,,
37,D1,FALSE,CR2Apal_30C_107,Apal,UNKNOWN,SYBR,None,19.930877685546875,20.146617889404297,0.30510273575782776,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94840077201477313,N,N,N,N,N,75.267074584960938,,,
38,D2,FALSE,CR2Apal_30C_107,A,UNKNOWN,SYBR,None,24.250699996948242,24.409214019775391,0.2241726815700531,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96287315378520844,N,N,N,N,N,87.887275695800781,,,
39,D3,FALSE,CR2Apal_30C_107,Apal,UNKNOWN,SYBR,None,20.362358093261719,20.146617889404297,0.30510273575782776,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91193955695025652,N,N,N,N,N,75.251312255859375,,,
40,D4,FALSE,CR2Apal_30C_107,A,UNKNOWN,SYBR,None,24.567728042602539,24.409214019775391,0.2241726815700531,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94787395402003449,N,N,N,N,N,87.721282958984375,,,
41,D5,FALSE,CR2Apal_30C_108,Apal,UNKNOWN,SYBR,None,22.796207427978516,22.884628295898438,0.12504734098911285,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93643088739488534,N,N,N,N,N,75.102775573730469,,,
42,D6,FALSE,CR2Apal_30C_108,A,UNKNOWN,SYBR,None,35.782760620117188,35.782760620117188,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Amp,,0.83616172236245578,N,N,N,Y,N,87.708084106445312,63.337814331054688,,
43,D7,FALSE,CR2Apal_30C_108,Apal,UNKNOWN,SYBR,None,22.973051071166992,22.884628295898438,0.12504734098911285,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93784854843168741,N,N,N,N,N,75.255439758300781,,,
44,D8,FALSE,CR2Apal_30C_108,A,UNKNOWN,SYBR,None,Undetermined,35.782760620117188,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,35,No Amp,,0,Y,N,N,Y,N,84.646522521972656,62.780712127685547,,
45,D9,FALSE,CR2Apal_30C_109,Apal,UNKNOWN,SYBR,None,24.561115264892578,24.504081726074219,0.080657601356506348,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93599612119193421,N,N,N,N,N,75.414291381835938,,,
46,D10,FALSE,CR2Apal_30C_109,A,UNKNOWN,SYBR,None,34.711074829101562,34.711074829101562,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.90949028478250804,N,N,N,Y,N,82.711349487304688,88.324478149414062,,
47,D11,FALSE,CR2Apal_30C_109,Apal,UNKNOWN,SYBR,None,24.447048187255859,24.504081726074219,0.080657601356506348,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94761290094968675,N,N,N,N,N,75.266868591308594,,,
48,D12,FALSE,CR2Apal_30C_109,A,UNKNOWN,SYBR,None,Undetermined,34.711074829101562,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,87.747421264648438,84.381881713867188,90.972732543945312,93.917587280273438
49,E1,FALSE,CR2Apal_30C_110,Apal,UNKNOWN,SYBR,None,21.807884216308594,21.877593994140625,0.098584510385990143,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.9674842086296036,N,N,N,N,N,75.126846313476562,,,
50,E2,FALSE,CR2Apal_30C_110,A,UNKNOWN,SYBR,None,26.272129058837891,26.514217376708984,0.34236323833465576,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96310790746732389,N,N,N,N,N,87.887275695800781,,,
51,E3,FALSE,CR2Apal_30C_110,Apal,UNKNOWN,SYBR,None,21.947303771972656,21.877593994140625,0.098584510385990143,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93857015858238602,N,N,N,N,N,75.111198425292969,,,
52,E4,FALSE,CR2Apal_30C_110,A,UNKNOWN,SYBR,None,26.756303787231445,26.514217376708984,0.34236323833465576,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95051577695309553,N,N,N,N,N,87.721282958984375,,,
53,E5,FALSE,CR2Apal_30C_111,Apal,UNKNOWN,SYBR,None,22.783727645874023,22.6112060546875,0.2439810186624527,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.84687749720416372,N,N,N,N,N,75.102775573730469,,,
54,E6,FALSE,CR2Apal_30C_111,A,UNKNOWN,SYBR,None,31.795499801635742,34.08184814453125,3.2333862781524658,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.93346228623803762,N,N,Y,N,N,87.708084106445312,,,
55,E7,FALSE,CR2Apal_30C_111,Apal,UNKNOWN,SYBR,None,22.438686370849609,22.6112060546875,0.2439810186624527,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93609581698911504,N,N,N,N,N,75.255439758300781,,,
56,E8,FALSE,CR2Apal_30C_111,A,UNKNOWN,SYBR,None,36.368198394775391,34.08184814453125,3.2333862781524658,,,,,,,,FALSE,0.10000000000000001,TRUE,3,32,Inconclusive,,0.80995327978087861,N,N,Y,Y,N,88.010498046875,84.786689758300781,63.061042785644531,
57,E9,FALSE,CR2Apal_30C_112,Apal,UNKNOWN,SYBR,None,24.971269607543945,24.927978515625,0.061224199831485748,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.83917411350014637,N,N,N,N,N,75.273963928222656,,,
58,E10,FALSE,CR2Apal_30C_112,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,84.254959106445312,74.993309020996094,80.185447692871094,88.885787963867188
59,E11,FALSE,CR2Apal_30C_112,Apal,UNKNOWN,SYBR,None,24.884685516357422,24.927978515625,0.061224199831485748,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.92704870674451134,N,N,N,N,N,75.266868591308594,,,
60,E12,FALSE,CR2Apal_30C_112,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,86.204879760742188,78.77264404296875,91.253196716308594,66.712783813476562
61,F1,FALSE,CR2Apal_30C_113,Apal,UNKNOWN,SYBR,None,23.094211578369141,23.176708221435547,0.11666922271251678,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96348993486335566,N,N,N,N,N,75.126846313476562,,,
62,F2,FALSE,CR2Apal_30C_113,A,UNKNOWN,SYBR,None,27.937362670898438,28.151893615722656,0.30339255928993225,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96934039445724285,N,N,N,N,N,87.887275695800781,,,
63,F3,FALSE,CR2Apal_30C_113,Apal,UNKNOWN,SYBR,None,23.259206771850586,23.176708221435547,0.11666922271251678,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94853933465846429,N,N,N,N,N,75.111198425292969,,,
64,F4,FALSE,CR2Apal_30C_113,A,UNKNOWN,SYBR,None,28.366424560546875,28.151893615722656,0.30339255928993225,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95554319735925364,N,N,N,N,N,87.721282958984375,,,
65,F5,FALSE,CR2Apal_30C_114,Apal,UNKNOWN,SYBR,None,21.272495269775391,21.2535400390625,0.026806743815541267,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93405539958857275,N,N,N,N,N,75.102775573730469,,,
66,F6,FALSE,CR2Apal_30C_114,A,UNKNOWN,SYBR,None,34.879291534423828,36.755260467529297,2.6530206203460693,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Amp,,0.88324057595887673,N,N,Y,N,N,84.626785278320312,,,
67,F7,FALSE,CR2Apal_30C_114,Apal,UNKNOWN,SYBR,None,21.234584808349609,21.2535400390625,0.026806743815541267,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94183913841985811,N,N,N,N,N,75.255439758300781,,,
68,F8,FALSE,CR2Apal_30C_114,A,UNKNOWN,SYBR,None,38.631229400634766,36.755260467529297,2.6530206203460693,,,,,,,,FALSE,0.10000000000000001,TRUE,3,35,No Amp,,0.22125629547478487,Y,N,Y,Y,N,84.646522521972656,62.640544891357422,,
69,F9,FALSE,CR2Apal_30C_115,Apal,UNKNOWN,SYBR,None,20.749338150024414,20.785846710205078,0.051629550755023956,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93125498039037014,N,N,N,N,N,75.414291381835938,,,
70,F10,FALSE,CR2Apal_30C_115,A,UNKNOWN,SYBR,None,38.258720397949219,37.133949279785156,1.5906639099121094,,,,,,,,FALSE,0.10000000000000001,TRUE,3,34,Inconclusive,,0.46827978528645309,Y,N,Y,N,N,84.816276550292969,,,
71,F11,FALSE,CR2Apal_30C_115,Apal,UNKNOWN,SYBR,None,20.822353363037109,20.785846710205078,0.051629550755023956,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93992222317902141,N,N,N,N,N,75.266868591308594,,,
72,F12,FALSE,CR2Apal_30C_115,A,UNKNOWN,SYBR,None,36.009181976318359,37.133949279785156,1.5906639099121094,,,,,,,,FALSE,0.10000000000000001,TRUE,3,32,Amp,,0.85038528248308287,N,N,Y,N,N,84.802574157714844,,,
73,G1,FALSE,CR2Apal_30C_116,Apal,UNKNOWN,SYBR,None,22.056940078735352,22.202354431152344,0.20564830303192139,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96221083715169309,N,N,N,N,N,75.126846313476562,,,
74,G2,FALSE,CR2Apal_30C_116,A,UNKNOWN,SYBR,None,35.812458038330078,37.119850158691406,1.8489344120025635,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Amp,,0.87654468367841654,N,N,Y,N,N,84.662109375,,,
75,G3,FALSE,CR2Apal_30C_116,Apal,UNKNOWN,SYBR,None,22.347770690917969,22.202354431152344,0.20564830303192139,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95235879894772502,N,N,N,N,N,75.111198425292969,,,
76,G4,FALSE,CR2Apal_30C_116,A,UNKNOWN,SYBR,None,38.42724609375,37.119850158691406,1.8489344120025635,,,,,,,,FALSE,0.10000000000000001,TRUE,3,34,No Amp,,0.47526063771125188,Y,N,Y,Y,N,84.498703002929688,62.361003875732422,,
77,G5,FALSE,CR2Apal_30C_117,Apal,UNKNOWN,SYBR,None,22.131069183349609,22.087636947631836,0.061422456055879593,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94454214907897172,N,N,N,N,N,75.242828369140625,,,
78,G6,FALSE,CR2Apal_30C_117,A,UNKNOWN,SYBR,None,Undetermined,37.678306579589844,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,87.84814453125,92.610153198242188,76.363304138183594,
79,G7,FALSE,CR2Apal_30C_117,Apal,UNKNOWN,SYBR,None,22.044204711914062,22.087636947631836,0.061422456055879593,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94183214713408459,N,N,N,N,N,75.255439758300781,,,
80,G8,FALSE,CR2Apal_30C_117,A,UNKNOWN,SYBR,None,37.678306579589844,37.678306579589844,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,33,Inconclusive,,0.71280898794504877,Y,N,N,Y,N,84.786689758300781,62.500381469726562,,
81,G9,FALSE,CR2Apal_30C_118,Apal,UNKNOWN,SYBR,None,18.969350814819336,19.151496887207031,0.25759479403495789,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.88319935187202181,N,N,N,N,N,75.273963928222656,,,
82,G10,FALSE,CR2Apal_30C_118,A,UNKNOWN,SYBR,None,23.82151985168457,23.583599090576172,0.33647075295448303,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93500394433950818,N,N,N,N,N,87.903488159179688,,,
83,G11,FALSE,CR2Apal_30C_118,Apal,UNKNOWN,SYBR,None,19.333644866943359,19.151496887207031,0.25759479403495789,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.89677009704494148,N,N,N,N,N,75.266868591308594,,,
84,G12,FALSE,CR2Apal_30C_118,A,UNKNOWN,SYBR,None,23.345678329467773,23.583599090576172,0.33647075295448303,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9291065288016126,N,N,N,N,N,87.887649536132812,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,N,Y,62.787090301513672,,,
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,Y,80.034706115722656,83.540313720703125,90.271087646484375,87.326377868652344
87,H3,FALSE,CR2Apal_30C_119,Apal,UNKNOWN,SYBR,None,19.063665390014648,19.222934722900391,0.22523950040340424,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.89577394659080634,N,N,N,N,N,74.971084594726562,,,
88,H4,FALSE,CR2Apal_30C_119,A,UNKNOWN,SYBR,None,22.968694686889648,23.021316528320312,0.074418522417545319,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93487842769970253,N,N,N,N,N,87.581169128417969,,,
