27,C3,FALSE,CR2Apal_34C_128,Apal,UNKNOWN,SYBR,None,19.71113395690918,19.339237213134766,0.52594274282455444,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.89268039483096617,N,N,Y,N,N,N,75.28106689453125,,,
28,C4,FALSE,CR2Apal_34C_128,A,UNKNOWN,SYBR,None,23.328580856323242,23.260503768920898,0.096275538206100464,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9367260716156377,N,N,N,N,N,N,87.940216064453125,,,
29,C5,FALSE,CR2Apal_34C_129,Apal,UNKNOWN,SYBR,None,21.326013565063477,21.359027862548828,0.046687919646501541,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94819416954264735,N,N,N,N,N,N,75.131439208984375,,,
30,C6,FALSE,CR2Apal_34C_129,A,UNKNOWN,SYBR,None,24.075275421142578,24.023136138916016,0.073736079037189484,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95923328220739434,N,N,N,N,N,N,87.78765869140625,,,
31,C7,FALSE,CR2Apal_34C_129,Apal,UNKNOWN,SYBR,None,21.392040252685547,21.359027862548828,0.046687919646501541,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94676341875228609,N,N,N,N,N,N,75.14141845703125,,,
32,C8,FALSE,CR2Apal_34C_129,A,UNKNOWN,SYBR,None,23.970996856689453,24.023136138916016,0.073736079037189484,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95069078864049528,N,N,N,N,N,N,87.802452087402344,,,
33,C9,FALSE,CR2Apal_34C_130,Apal,UNKNOWN,SYBR,None,20.597490310668945,20.614246368408203,0.023696644231677055,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93981009383594016,N,N,N,N,N,N,75.302459716796875,,,
34,C10,FALSE,CR2Apal_34C_130,A,UNKNOWN,SYBR,None,23.597768783569336,23.716167449951172,0.16744235157966614,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95507005515732857,N,N,N,N,N,N,87.979888916015625,,,
35,C11,FALSE,CR2Apal_34C_130,Apal,UNKNOWN,SYBR,None,20.631002426147461,20.614246368408203,0.023696644231677055,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94260591700099727,N,N,N,N,N,N,75.297355651855469,,,
36,C12,FALSE,CR2Apal_34C_130,A,UNKNOWN,SYBR,None,23.834568023681641,23.716167449951172,0.16744235157966614,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96724821089204482,N,N,N,N,N,N,87.9671630859375,,,
37,D1,FALSE,CR2Apal_34C_131,Apal,UNKNOWN,SYBR,None,18.875801086425781,19.196254730224609,0.45318987965583801,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.92587282560540118,N,N,N,N,N,N,75.160171508789062,,,
38,D2,FALSE,CR2Apal_34C_131,A,UNKNOWN,SYBR,None,24.335138320922852,24.208229064941406,0.17947679758071899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.97645831730733368,N,N,N,N,N,N,87.83111572265625,,,
39,D3,FALSE,CR2Apal_34C_131,Apal,UNKNOWN,SYBR,None,19.516708374023438,19.196254730224609,0.45318987965583801,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9361577818516571,N,N,N,N,N,N,75.141960144042969,,,
40,D4,FALSE,CR2Apal_34C_131,A,UNKNOWN,SYBR,None,24.081319808959961,24.208229064941406,0.17947679758071899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.92094663687936973,N,N,N,N,N,N,87.801109313964844,,,
41,D5,FALSE,CR2Apal_34C_132,Apal,UNKNOWN,SYBR,None,20.243301391601562,20.312612533569336,0.098020754754543304,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.930244969188745,N,N,N,N,N,N,75.131439208984375,,,
42,D6,FALSE,CR2Apal_34C_132,A,UNKNOWN,SYBR,None,24.658164978027344,24.769168853759766,0.15698318183422089,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94258630693792589,N,N,N,N,N,N,87.78765869140625,,,
43,D7,FALSE,CR2Apal_34C_132,Apal,UNKNOWN,SYBR,None,20.381923675537109,20.312612533569336,0.098020754754543304,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.938775686586511,N,N,N,N,N,N,75.14141845703125,,,
44,D8,FALSE,CR2Apal_34C_132,A,UNKNOWN,SYBR,None,24.880172729492188,24.769168853759766,0.15698318183422089,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.93032347475393529,N,N,N,N,N,N,87.802452087402344,,,
45,D9,FALSE,CR2Apal_34C_133,Apal,UNKNOWN,SYBR,None,20.325958251953125,20.382369995117188,0.07977825403213501,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93932237420399578,N,N,N,N,N,N,75.302459716796875,,,
46,D10,FALSE,CR2Apal_34C_133,A,UNKNOWN,SYBR,None,25.608238220214844,24.34222412109375,1.7904129028320312,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.82002546469812787,N,N,Y,N,N,N,87.979888916015625,,,
47,D11,FALSE,CR2Apal_34C_133,Apal,UNKNOWN,SYBR,None,20.43878173828125,20.382369995117188,0.07977825403213501,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93449740110588619,N,N,N,N,N,N,75.297355651855469,,,
48,D12,FALSE,CR2Apal_34C_133,A,UNKNOWN,SYBR,None,23.076211929321289,24.34222412109375,1.7904129028320312,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96925508894247558,N,N,Y,N,N,N,87.9671630859375,,,
49,E1,FALSE,CR2Apal_34C_134,Apal,UNKNOWN,SYBR,None,20.264213562011719,20.409648895263672,0.2056766152381897,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9336585259655853,N,N,N,N,N,N,75.160171508789062,,,
50,E2,FALSE,CR2Apal_34C_134,A,UNKNOWN,SYBR,None,22.501161575317383,23.048995971679688,0.77475482225418091,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95494506140586632,N,N,Y,N,N,N,87.691871643066406,,,
51,E3,FALSE,CR2Apal_34C_134,Apal,UNKNOWN,SYBR,None,20.555084228515625,20.409648895263672,0.2056766152381897,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93894242276247064,N,N,N,N,N,N,75.141960144042969,,,
52,E4,FALSE,CR2Apal_34C_134,A,UNKNOWN,SYBR,None,23.596830368041992,23.048995971679688,0.77475482225418091,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95035318417842618,N,N,Y,N,N,N,87.661994934082031,,,
53,E5,FALSE,CR2Apal_34C_135,Apal,UNKNOWN,SYBR,None,20.891088485717773,20.233072280883789,0.93057543039321899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94660080868362007,N,N,Y,N,N,N,75.131439208984375,,,
54,E6,FALSE,CR2Apal_34C_135,A,UNKNOWN,SYBR,None,22.869909286499023,23.03558349609375,0.23429736495018005,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96211430866215186,N,N,N,N,N,N,87.648574829101562,,,
55,E7,FALSE,CR2Apal_34C_135,Apal,UNKNOWN,SYBR,None,19.575056076049805,20.233072280883789,0.93057543039321899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.81064269497196684,N,N,Y,N,Y,N,75.14141845703125,,,
56,E8,FALSE,CR2Apal_34C_135,A,UNKNOWN,SYBR,None,23.201255798339844,23.03558349609375,0.23429736495018005,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95301555499065094,N,N,N,N,N,N,87.802452087402344,,,
57,E9,FALSE,CR2Apal_34C_136,Apal,UNKNOWN,SYBR,None,18.811285018920898,18.711273193359375,0.14143942296504974,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93977093448191729,N,N,N,N,N,N,75.302459716796875,,,
58,E10,FALSE,CR2Apal_34C_136,A,UNKNOWN,SYBR,None,21.6884765625,21.77421760559082,0.12125614285469055,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92452671926792251,N,N,N,N,N,N,87.979888916015625,,,
59,E11,FALSE,CR2Apal_34C_136,Apal,UNKNOWN,SYBR,None,18.611259460449219,18.711273193359375,0.14143942296504974,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.90572098966108661,N,N,N,N,N,N,75.158126831054688,,,
60,E12,FALSE,CR2Apal_34C_136,A,UNKNOWN,SYBR,None,21.859958648681641,21.77421760559082,0.12125614285469055,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.91807153962329524,N,N,N,N,N,N,87.827934265136719,,,
61,F1,FALSE,CR2Apal_34C_137,Apal,UNKNOWN,SYBR,None,19.627620697021484,19.481142044067383,0.2071520984172821,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93955459871652092,N,N,N,N,N,N,75.160171508789062,,,
62,F2,FALSE,CR2Apal_34C_137,A,UNKNOWN,SYBR,None,24.150012969970703,23.921726226806641,0.32284754514694214,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.97316297092818493,N,N,N,N,N,N,87.83111572265625,,,
63,F3,FALSE,CR2Apal_34C_137,Apal,UNKNOWN,SYBR,None,19.334663391113281,19.481142044067383,0.2071520984172821,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.89487380513439208,N,N,N,N,N,N,75.002845764160156,,,
64,F4,FALSE,CR2Apal_34C_137,A,UNKNOWN,SYBR,None,23.693437576293945,23.921726226806641,0.32284754514694214,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9449464720472488,N,N,N,N,N,N,87.661994934082031,,,
65,F5,FALSE,CR2Apal_34C_138,Apal,UNKNOWN,SYBR,None,19.943199157714844,20.190029144287109,0.34907031059265137,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92837180518246676,N,N,N,N,N,N,75.131439208984375,,,
66,F6,FALSE,CR2Apal_34C_138,A,UNKNOWN,SYBR,None,24.118062973022461,24.213977813720703,0.13564272224903107,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94898845539473409,N,N,N,N,N,N,87.78765869140625,,,
67,F7,FALSE,CR2Apal_34C_138,Apal,UNKNOWN,SYBR,None,20.436859130859375,20.190029144287109,0.34907031059265137,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93289634596921955,N,N,N,N,N,N,75.280548095703125,,,
68,F8,FALSE,CR2Apal_34C_138,A,UNKNOWN,SYBR,None,24.309890747070312,24.213977813720703,0.13564272224903107,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94942081485328511,N,N,N,N,N,N,87.802452087402344,,,
69,F9,FALSE,CR2Apal_34C_139,Apal,UNKNOWN,SYBR,None,19.306947708129883,19.295028686523438,0.016857391223311424,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.90090679884636238,N,N,N,N,N,N,75.302459716796875,,,
70,F10,FALSE,CR2Apal_34C_139,A,UNKNOWN,SYBR,None,23.332963943481445,23.339717864990234,0.0095528364181518555,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.91048928811025664,N,N,N,N,N,N,87.979888916015625,,,
71,F11,FALSE,CR2Apal_34C_139,Apal,UNKNOWN,SYBR,None,19.283107757568359,19.295028686523438,0.016857391223311424,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.89288044776397602,N,N,N,N,N,N,75.297355651855469,,,
72,F12,FALSE,CR2Apal_34C_139,A,UNKNOWN,SYBR,None,23.346473693847656,23.339717864990234,0.0095528364181518555,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95377001551601703,N,N,N,N,N,N,87.9671630859375,,,
73,G1,FALSE,CR2Apal_34C_140,Apal,UNKNOWN,SYBR,None,19.903997421264648,20.045013427734375,0.19942809641361237,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9504532205576911,N,N,N,N,N,N,75.02093505859375,,,
74,G2,FALSE,CR2Apal_34C_140,A,UNKNOWN,SYBR,None,22.849452972412109,22.648033142089844,0.28484931588172913,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94608043780429096,N,N,N,N,N,N,87.691871643066406,,,
75,G3,FALSE,CR2Apal_34C_140,Apal,UNKNOWN,SYBR,None,20.186031341552734,20.045013427734375,0.19942809641361237,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93968031997147394,N,N,N,N,N,N,75.002845764160156,,,
76,G4,FALSE,CR2Apal_34C_140,A,UNKNOWN,SYBR,None,22.446615219116211,22.648033142089844,0.28484931588172913,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94235328846862509,N,N,N,N,N,N,87.661994934082031,,,
77,G5,FALSE,CR2Apal_34C_141,Apal,UNKNOWN,SYBR,None,19.132930755615234,19.049530029296875,0.11794643849134445,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.9090982346519153,N,N,N,N,N,N,75.131439208984375,,,
78,G6,FALSE,CR2Apal_34C_141,A,UNKNOWN,SYBR,None,23.42523193359375,23.40911865234375,0.022786272689700127,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9082910139937882,N,N,N,N,N,N,87.78765869140625,,,
79,G7,FALSE,CR2Apal_34C_141,Apal,UNKNOWN,SYBR,None,18.966129302978516,19.049530029296875,0.11794643849134445,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.90234684231967466,N,N,N,N,N,N,75.14141845703125,,,
80,G8,FALSE,CR2Apal_34C_141,A,UNKNOWN,SYBR,None,23.393007278442383,23.40911865234375,0.022786272689700127,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.90334450393683119,N,N,N,N,N,N,87.802452087402344,,,
81,G9,FALSE,CR2Apal_34C_142,Apal,UNKNOWN,SYBR,None,19.339010238647461,19.44720458984375,0.15300992131233215,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.90927114984920565,N,N,N,N,N,N,75.302459716796875,,,
82,G10,FALSE,CR2Apal_34C_142,A,UNKNOWN,SYBR,None,23.711553573608398,23.431243896484375,0.39641910791397095,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94595351986561993,N,N,N,N,N,N,87.840576171875,,,
83,G11,FALSE,CR2Apal_34C_142,Apal,UNKNOWN,SYBR,None,19.555398941040039,19.44720458984375,0.15300992131233215,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93857117315852878,N,N,N,N,N,N,75.297355651855469,,,
84,G12,FALSE,CR2Apal_34C_142,A,UNKNOWN,SYBR,None,23.150932312011719,23.431243896484375,0.39641910791397095,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95704137826729241,N,N,N,N,N,N,87.9671630859375,,,
85,H1,FALSE,NTC,Apal,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,7,No Amp,,0,Y,N,N,Y,N,Y,81.843742370605469,86.16021728515625,89.501998901367188,78.780441284179688
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,87.552627563476562,82.261466979980469,74.463966369628906,90.755172729492188
87,H3,FALSE,CR2Apal_34C_143,Apal,UNKNOWN,SYBR,None,19.899160385131836,20.026214599609375,0.1796831488609314,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94459012469943682,N,N,N,N,N,N,75.002845764160156,,,
